task_code,status_code,wbs_id,task_name,target_drtn_hr_cnt,remain_drtn_hr_cnt,act_drtn_hr_cnt,primary_base_start_date,target_start_date,start_date,primary_base_end_date,target_end_date,end_date,remain_float_hr_cnt,free_float_hr_cnt,task_type,pred_list,succ_list,succ_details,resource_list,cstr_type,cstr_type2,clndr_id,delete_record_flag
Activity ID,Activity Status,WBS Code,Activity Name,Original Duration(d),Remaining Duration(d),(*)Actual Duration(d),(*)BL1 Start,(*)Planned Start,(*)Start,(*)BL1 Finish,(*)Planned Finish,(*)Finish,(*)Remaining Float(d),(*)Free Float(d),(*)Activity Type,(*)Predecessors,(*)Successors,(*)Successor Details,(*)Resources,Primary Constraint,Secondary Constraint,Calendar Name,Delete This Row
SITEWORK-10,Completed,TWNU07.8.8.2,MOBILIZATION,2,0,2,10/29/2024 08:00,10/29/2024 08:00,10/29/2024 08:00,10/30/2024 16:00,10/30/2024 16:00,10/30/2024 16:00,,,Task Dependent,"PRECON-30, SM-NTP","SITEWORK-40, SITEWORK-20","SITEWORK-40: FS , SITEWORK-20: SS",,,,5D w/Hol 1222-1226,
SITEWORK-50,Completed,TWNU07.8.8.2,BUILD PAD,23,0,43,11/11/2024 08:00,11/11/2024 08:00,11/11/2024 08:00,12/13/2024 16:00,12/13/2024 16:00,1/14/2025 16:00,,,Task Dependent,"SITEWORK-40, SITEWORK-70","SITEUTLS-10, SITEUTLS-40","SITEUTLS-10: FS , SITEUTLS-40: FS",,,,5D w/Hol 1222-1226,
SITEWORK-70,Completed,TWNU07.8.8.2,SITE DEVELOPMENT TO BUILDING PAD,10,0,22,11/11/2024 08:00,11/11/2024 08:00,11/11/2024 08:00,11/22/2024 16:00,11/22/2024 16:00,12/12/2024 16:00,,,Task Dependent,SITEWORK-30,"P1A-C1-FNDS-10, SITEUTLS-20, SITEWORK-50","P1A-C1-FNDS-10: FS, SITEUTLS-20: FS, SITEWORK-50: FF",,,,5D w/Hol 1222-1226,
SITEWORK-60,Completed,TWNU07.8.8.2,EXCAVATE LAKE,5,0,5,12/19/2024 08:00,12/19/2024 08:00,12/19/2024 08:00,12/26/2024 16:00,12/26/2024 16:00,12/26/2024 16:00,,,Task Dependent,PERMIT-40,"SITEUTLS-10, SITEUTLS-40","SITEUTLS-10: FS , SITEUTLS-40: FS",,,,5D w/Hol 1222-1226,
SITEUTLS-10,In Progress,TWNU07.8.8.2,STORM,8,3,66,1/15/2025 08:00,1/15/2025 08:00,1/15/2025 08:00,1/24/2025 16:00,1/24/2025 16:00,4/21/2025 16:00,136,0,Task Dependent,"SITEWORK-50, SITEWORK-60","SITEUTLS-40, SITEUTLS-30","SITEUTLS-40: FS, SITEUTLS-30: FS",,,,5D w/Hol 1222-1226,
SITEUTLS-40,Not Started,TWNU07.8.8.2,WATER DISTRIBUTION & INSPECT,7,7,0,5/7/2025 08:00,5/7/2025 08:00,5/7/2025 08:00,5/15/2025 16:00,5/15/2025 16:00,5/15/2025 16:00,130,0,Task Dependent,"SITEWORK-50, SITEWORK-60, SITEUTLS-10, SITEUTLS-30",SITEUTLS-50,SITEUTLS-50: FS,,,,5D w/Hol 1222-1226,
SITEWORK-30,Completed,TWNU07.8.8.2,TREE RELOCATION,17,0,17,11/19/2024 08:00,11/19/2024 08:00,11/19/2024 08:00,12/13/2024 16:00,12/13/2024 16:00,12/13/2024 16:00,,,Task Dependent,SITEWORK-20,SITEWORK-70,SITEWORK-70: FF,,,,5D w/Hol 1222-1226,
SITEWORK-40,Completed,TWNU07.8.8.2,SITE CLEARING,18,0,18,10/29/2024 08:00,10/29/2024 08:00,10/29/2024 08:00,11/21/2024 16:00,11/21/2024 16:00,11/21/2024 16:00,,,Task Dependent,"SITEWORK-10, SITEWORK-20",SITEWORK-50,SITEWORK-50: FF 5,,,,5D w/Hol 1222-1226,
SITEUTLS-30,Not Started,TWNU07.8.8.2,FIRE LINES,7,7,0,4/30/2025 08:00,4/30/2025 08:00,4/30/2025 08:00,5/8/2025 16:00,5/8/2025 16:00,5/8/2025 16:00,130,0,Task Dependent,"SITEUTLS-20, PERMIT-20, SITEUTLS-10",SITEUTLS-40,SITEUTLS-40: FF 5,,,,5D w/Hol 1222-1226,
SITEUTLS-20,In Progress,TWNU07.8.8.2,SANITARY,8,9,28,3/10/2025 08:00,3/10/2025 08:00,3/10/2025 08:00,3/19/2025 16:00,3/19/2025 16:00,4/29/2025 16:00,-50,0,Task Dependent,"SITEWORK-70, PERMIT-20","SITEUTLS-30, SITEUTLS-80","SITEUTLS-30: FS, SITEUTLS-80: SS",,,,5D w/Hol 1222-1226,
SITEUTLS-50,Not Started,TWNU07.8.8.2,WATER METER ADMIN APPROVAL,20,20,0,5/16/2025 08:00,5/16/2025 08:00,5/16/2025 08:00,6/13/2025 16:00,6/13/2025 16:00,6/13/2025 16:00,130,0,Task Dependent,SITEUTLS-40,SITEUTLS-60,SITEUTLS-60: FS,,,,5D w/Hol 1222-1226,
SITEUTLS-60,Not Started,TWNU07.8.8.2,FAB/DEL WATER METER,5,5,0,6/16/2025 08:00,6/16/2025 08:00,6/16/2025 08:00,6/20/2025 16:00,6/20/2025 16:00,6/20/2025 16:00,130,0,Task Dependent,SITEUTLS-50,SITEUTLS-70,SITEUTLS-70: FS,,,,5D w/Hol 1222-1226,
SITEUTLS-70,Not Started,TWNU07.8.8.2,INSTALL WATER METER,1,1,0,6/23/2025 08:00,6/23/2025 08:00,6/23/2025 08:00,6/23/2025 16:00,6/23/2025 16:00,6/23/2025 16:00,130,0,Task Dependent,SITEUTLS-60,FM-SITEWATER,FM-SITEWATER: FS,,,,5D w/Hol 1222-1226,
SITEWORK-20,Completed,TWNU07.8.8.2,EROSION CONTROL / SILT FENCE,27,0,32,11/5/2024 08:00,11/5/2024 08:00,11/5/2024 08:00,12/13/2024 16:00,12/13/2024 16:00,12/20/2024 16:00,,,Task Dependent,SITEWORK-10,"SITEWORK-40, SITEWORK-30","SITEWORK-40: SS, SITEWORK-30: SS",,,,5D w/Hol 1222-1226,
SITEUTLS-80,Completed,TWNU07.8.8.2,INSTALL GREASE TRAP,2,0,2,3/21/2025 08:00,3/21/2025 08:00,3/21/2025 08:00,3/24/2025 16:00,3/24/2025 16:00,3/24/2025 16:00,,,Task Dependent,"SITEUTLS-20, FAB/DEL-650",P1A-C1-FNDS-10,P1A-C1-FNDS-10: FS,,,,5D w/Hol 1222-1226,
SITEUTLS-90,Completed,TWNU07.8.8.2,INSTALL LIFT STATION AND CONNECT,5,0,5,3/17/2025 08:00,3/17/2025 08:00,3/17/2025 08:00,3/21/2025 16:00,3/21/2025 16:00,3/21/2025 16:00,,,Task Dependent,,P1A-A-FNDS-10,P1A-A-FNDS-10: FS,,,,5D w/Hol 1222-1226,
P1A-EAST-C1-20,Not Started,TWNU07.8.8.9.1.1,STUCCO - (MODIFIED FROM SECTOR C1 TO A),5,5,0,8/7/2025 08:00,8/7/2025 08:00,8/7/2025 08:00,8/13/2025 16:00,8/13/2025 16:00,8/13/2025 16:00,0,0,Task Dependent,"P1A-EXT-01-10, P1A-EAST-C1-10, FAB/DEL-420","P1A-EAST-C1-30, P1A-SOUTH-C1/B-20","P1A-EAST-C1-30: FS, P1A-SOUTH-C1/B-20: FS",,,,5D w/Hol 1222-1226,
P1A-EAST-C1-30,Not Started,TWNU07.8.8.9.1.1,PRIME PAINT EXTERIOR - (MODIFIED FROM SECTOR C1 TO A),3,3,0,8/14/2025 08:00,8/14/2025 08:00,8/14/2025 08:00,8/18/2025 16:00,8/18/2025 16:00,8/18/2025 16:00,0,6,Task Dependent,"P1A-EAST-C1-20, FAB/DEL-330","P1A-EXT-01-40, P1A-SOUTH-C1/B-30","P1A-EXT-01-40: FS, P1A-SOUTH-C1/B-30: FS",,,,5D w/Hol 1222-1226,
P1A-EAST-C1-40,Not Started,TWNU07.8.8.9.1.1,FINISH PAINT BUILDING EXTERIOR - (MODIFIED FROM SECTOR C1 TO A),3,3,0,12/3/2025 08:00,12/3/2025 08:00,12/3/2025 08:00,12/5/2025 16:00,12/5/2025 16:00,12/5/2025 16:00,-50,0,Task Dependent,"P1A-EXT-01-40, P1A-EXT-02-40, P1A-EXT-03-40","P1A-EAST-C1-70, SITEDEV-S-70, P1A-EAST-C1-50, P1A-EAST-C1-60, P1A-SOUTH-C1/B-40","P1A-EAST-C1-70: FS, SITEDEV-S-70: FF 3, P1A-EAST-C1-50: FS, P1A-EAST-C1-60: FS, P1A-SOUTH-C1/B-40: FS",,,,5D w/Hol 1222-1226,
P1A-EAST-C1-70,Not Started,TWNU07.8.8.9.1.1,INSTALL AWNINGS - (MODIFIED FROM SECTOR C1 TO A),5,5,0,12/8/2025 08:00,12/8/2025 08:00,12/8/2025 08:00,12/12/2025 16:00,12/12/2025 16:00,12/12/2025 16:00,-50,0,Task Dependent,"P1A-EAST-C1-40, FAB/DEL-470","P1A-EAST-C1-80, P1A-SOUTH-C1/B-70","P1A-EAST-C1-80: FS, P1A-SOUTH-C1/B-70: FS",,,,5D w/Hol 1222-1226,
P1A-EAST-C1-80,Not Started,TWNU07.8.8.9.1.1,GUTTERS - (MODIFIED FROM SECTOR C1 TO A),2,2,0,12/15/2025 08:00,12/15/2025 08:00,12/15/2025 08:00,12/16/2025 16:00,12/16/2025 16:00,12/16/2025 16:00,-30,8,Task Dependent,"P1A-EAST-C1-70, FAB/DEL-450","P1A-SOUTH-C1/B-80, P1A-SOUTH-C1/B-80","P1A-SOUTH-C1/B-80: FS, P1A-SOUTH-C1/B-80: FF",,,,5D w/Hol 1222-1226,
P1A-EAST-C1-50,Not Started,TWNU07.8.8.9.1.1,BUILDING EXTERIOR LIGHTS - (MODIFIED FROM SECTOR C1 TO A),2,2,0,12/8/2025 08:00,12/8/2025 08:00,12/8/2025 08:00,12/9/2025 16:00,12/9/2025 16:00,12/9/2025 16:00,-30,3,Task Dependent,"P1A-EAST-C1-40, FAB/DEL-10","P1A-SOUTH-C1/B-50, P1A-SOUTH-C1/B-50","P1A-SOUTH-C1/B-50: FS, P1A-SOUTH-C1/B-50: FF",,,,5D w/Hol 1222-1226,
P1A-EAST-C1-60,Not Started,TWNU07.8.8.9.1.1,INSTALL SHUTTERS - (MODIFIED FROM SECTOR C1 TO A),5,5,0,12/8/2025 08:00,12/8/2025 08:00,12/8/2025 08:00,12/12/2025 16:00,12/12/2025 16:00,12/12/2025 16:00,-43,0,Task Dependent,P1A-EAST-C1-40,"P1A-SOUTH-C1/B-60, P1A-SOUTH-C1/B-60","P1A-SOUTH-C1/B-60: FS, P1A-SOUTH-C1/B-60: FF",,,,5D w/Hol 1222-1226,
P1A-EAST-C1-10,Not Started,TWNU07.8.8.9.1.1,INSTALL STOREFRONTS FRAMES & GLASS - (MODIFIED FROM SECTOR C1 TO A),5,5,0,7/24/2025 08:00,7/24/2025 08:00,7/24/2025 08:00,7/30/2025 16:00,7/30/2025 16:00,7/30/2025 16:00,-50,0,Task Dependent,"P1A-A-STRCT-60, P1A-B-STRCT-60, P1A-C1-STRCT-60, FAB/DEL-380, FAB/DEL-630","P1A-EAST-C1-20, P1A-SOUTH-C1/B-10, FM-1A-EXT-DRY","P1A-EAST-C1-20: FS, P1A-SOUTH-C1/B-10: FS, FM-1A-EXT-DRY: FF",,,,5D w/Hol 1222-1226,
P1A-SOUTH-C1/B-20,Not Started,TWNU07.8.8.9.1.2,STUCCO - (MODIFIED FROM SECTOR C1 TO A),10,10,0,8/14/2025 08:00,8/14/2025 08:00,8/14/2025 08:00,8/27/2025 16:00,8/27/2025 16:00,8/27/2025 16:00,9,0,Task Dependent,"P1A-SOUTH-C1/B-10, P1A-EAST-C1-20, FAB/DEL-420","P1A-SOUTH-C1/B-30, P1A-EAST-A-40","P1A-SOUTH-C1/B-30: FF 5, P1A-EAST-A-40: FS",,,,5D w/Hol 1222-1226,
P1A-SOUTH-C1/B-30,Not Started,TWNU07.8.8.9.1.2,PRIME PAINT EXTERIOR - (MODIFIED FROM SECTOR C1 TO A),6,6,0,8/27/2025 08:00,8/27/2025 08:00,8/27/2025 08:00,9/4/2025 16:00,9/4/2025 16:00,9/4/2025 16:00,14,0,Task Dependent,"P1A-SOUTH-C1/B-20, P1A-EAST-C1-30, FAB/DEL-330","P1A-SOUTH-C1/B-40, P1A-EAST-A-50","P1A-SOUTH-C1/B-40: FS, P1A-EAST-A-50: FS",,,,5D w/Hol 1222-1226,
P1A-SOUTH-C1/B-40,Not Started,TWNU07.8.8.9.1.2,FINISH PAINT BUILDING EXTERIOR - (MODIFIED FROM SECTOR C1 TO A),5,5,0,12/8/2025 08:00,12/8/2025 08:00,12/8/2025 08:00,12/12/2025 16:00,12/12/2025 16:00,12/12/2025 16:00,-50,0,Task Dependent,"P1A-EAST-C1-40, P1A-SOUTH-C1/B-30","P1A-SOUTH-C1/B-70, P1A-SOUTH-C1/B-50, P1A-SOUTH-C1/B-60, P1A-EAST-A-60","P1A-SOUTH-C1/B-70: FS, P1A-SOUTH-C1/B-50: FS, P1A-SOUTH-C1/B-60: FS, P1A-EAST-A-60: FS",,,,5D w/Hol 1222-1226,
P1A-SOUTH-C1/B-70,Not Started,TWNU07.8.8.9.1.2,INSTALL AWNINGS - (MODIFIED FROM SECTOR C1 TO A),10,10,0,12/15/2025 08:00,12/15/2025 08:00,12/15/2025 08:00,12/30/2025 16:00,12/30/2025 16:00,12/30/2025 16:00,-50,0,Task Dependent,"P1A-SOUTH-C1/B-40, P1A-EAST-C1-70, FAB/DEL-470","P1A-SOUTH-C1/B-80, P1A-EAST-A-90","P1A-SOUTH-C1/B-80: FS, P1A-EAST-A-90: FF 8",,,,5D w/Hol 1222-1226,
P1A-SOUTH-C1/B-80,Not Started,TWNU07.8.8.9.1.2,GUTTERS - (MODIFIED FROM SECTOR C1 TO A),5,5,0,12/31/2025 08:00,12/31/2025 08:00,12/31/2025 08:00,1/7/2026 16:00,1/7/2026 16:00,1/7/2026 16:00,-38,5,Task Dependent,"P1A-SOUTH-C1/B-70, P1A-EAST-C1-80, P1A-EAST-C1-80, P1A-SOUTH-C1/B-50, P1A-SOUTH-C1/B-60, FAB/DEL-450",P1A-EAST-A-100,P1A-EAST-A-100: FS,,,,5D w/Hol 1222-1226,
P1A-SOUTH-C1/B-50,Not Started,TWNU07.8.8.9.1.2,BUILDING EXTERIOR LIGHTS - (MODIFIED FROM SECTOR C1 TO A),5,5,0,12/15/2025 08:00,12/15/2025 08:00,12/15/2025 08:00,12/19/2025 16:00,12/19/2025 16:00,12/19/2025 16:00,-33,0,Task Dependent,"P1A-SOUTH-C1/B-40, P1A-EAST-C1-50, P1A-EAST-C1-50, FAB/DEL-10","P1A-EAST-A-70, P1A-SOUTH-C1/B-80","P1A-EAST-A-70: FS, P1A-SOUTH-C1/B-80: FS",,,,5D w/Hol 1222-1226,
P1A-SOUTH-C1/B-60,Not Started,TWNU07.8.8.9.1.2,INSTALL SHUTTERS - (MODIFIED FROM SECTOR C1 TO A),10,10,0,12/15/2025 08:00,12/15/2025 08:00,12/15/2025 08:00,12/30/2025 16:00,12/30/2025 16:00,12/30/2025 16:00,-43,0,Task Dependent,"P1A-SOUTH-C1/B-40, P1A-EAST-C1-60, P1A-EAST-C1-60","P1A-SOUTH-C1/B-80, P1A-EAST-A-80","P1A-SOUTH-C1/B-80: FS, P1A-EAST-A-80: FS",,,,5D w/Hol 1222-1226,
P1A-SOUTH-C1/B-10,Not Started,TWNU07.8.8.9.1.2,INSTALL STOREFRONTS FRAMES & GLASS - (MODIFIED FROM SECTOR C1 TO A),10,10,0,7/31/2025 08:00,7/31/2025 08:00,7/31/2025 08:00,8/13/2025 16:00,8/13/2025 16:00,8/13/2025 16:00,-50,0,Task Dependent,"P1A-EAST-C1-10, FAB/DEL-380, FAB/DEL-630","P1A-SOUTH-C1/B-20, P1A-EAST-A-10, FM-1A-EXT-DRY","P1A-SOUTH-C1/B-20: FS, P1A-EAST-A-10: FS, FM-1A-EXT-DRY: FF",,,,5D w/Hol 1222-1226,
P1A-EAST-A-40,Not Started,TWNU07.8.8.9.1.3,STUCCO,2,2,0,8/28/2025 08:00,8/28/2025 08:00,8/28/2025 08:00,8/29/2025 16:00,8/29/2025 16:00,8/29/2025 16:00,9,3,Task Dependent,"P1A-EAST-A-10, P1A-EAST-A-30, P1A-SOUTH-C1/B-20, FAB/DEL-420","P1A-EAST-A-50, P1A-SOUTH-A-40","P1A-EAST-A-50: FS, P1A-SOUTH-A-40: FS",,,,5D w/Hol 1222-1226,
P1A-EAST-A-50,Not Started,TWNU07.8.8.9.1.3,PRIME PAINT EXTERIOR,2,2,0,9/5/2025 08:00,9/5/2025 08:00,9/5/2025 08:00,9/8/2025 16:00,9/8/2025 16:00,9/8/2025 16:00,15,2,Task Dependent,"P1A-EAST-A-40, P1A-SOUTH-C1/B-30, FAB/DEL-330","P1A-EAST-A-60, P1A-SOUTH-A-50","P1A-EAST-A-60: FS, P1A-SOUTH-A-50: FS",,,,5D w/Hol 1222-1226,
P1A-EAST-A-60,Not Started,TWNU07.8.8.9.1.3,FINISH PAINT BUILDING EXTERIOR,5,5,0,12/15/2025 08:00,12/15/2025 08:00,12/15/2025 08:00,12/19/2025 16:00,12/19/2025 16:00,12/19/2025 16:00,-49,0,Task Dependent,"P1A-EAST-A-50, P1A-SOUTH-C1/B-40","P1A-EAST-A-90, P1A-EAST-A-70, P1A-EAST-A-80, P1A-SOUTH-A-60","P1A-EAST-A-90: FS, P1A-EAST-A-70: FS, P1A-EAST-A-80: FS, P1A-SOUTH-A-60: FS",,,,5D w/Hol 1222-1226,
P1A-EAST-A-90,Not Started,TWNU07.8.8.9.1.3,INSTALL AWNINGS,10,10,0,12/29/2025 08:00,12/29/2025 08:00,12/29/2025 08:00,1/12/2026 16:00,1/12/2026 16:00,1/12/2026 16:00,-50,0,Task Dependent,"P1A-EAST-A-60, P1A-SOUTH-C1/B-70, FAB/DEL-470","P1A-EAST-A-100, P1A-WEST-A/B-80","P1A-EAST-A-100: FS, P1A-WEST-A/B-80: FF 8",,,,5D w/Hol 1222-1226,
P1A-EAST-A-100,Not Started,TWNU07.8.8.9.1.3,GUTTERS,5,5,0,1/15/2026 08:00,1/15/2026 08:00,1/15/2026 08:00,1/21/2026 16:00,1/21/2026 16:00,1/21/2026 16:00,-43,0,Task Dependent,"P1A-EAST-A-90, P1A-EAST-A-70, P1A-EAST-A-80, FAB/DEL-450, P1A-SOUTH-C1/B-80","P1A-SOUTH-A-90, SITEDEV-S-10","P1A-SOUTH-A-90: FS, SITEDEV-S-10: FS",,,,5D w/Hol 1222-1226,
P1A-EAST-A-70,Not Started,TWNU07.8.8.9.1.3,BUILDING EXTERIOR LIGHTS,5,5,0,12/22/2025 08:00,12/22/2025 08:00,12/22/2025 08:00,12/30/2025 16:00,12/30/2025 16:00,12/30/2025 16:00,-33,0,Task Dependent,"P1A-EAST-A-60, P1A-SOUTH-C1/B-50, FAB/DEL-10","P1A-SOUTH-A-70, P1A-EAST-A-100","P1A-SOUTH-A-70: FS, P1A-EAST-A-100: FS",,,,5D w/Hol 1222-1226,
P1A-EAST-A-80,Not Started,TWNU07.8.8.9.1.3,INSTALL SHUTTERS,10,10,0,12/31/2025 08:00,12/31/2025 08:00,12/31/2025 08:00,1/14/2026 16:00,1/14/2026 16:00,1/14/2026 16:00,-43,0,Task Dependent,"P1A-EAST-A-60, P1A-SOUTH-C1/B-60","P1A-SOUTH-A-80, P1A-EAST-A-100","P1A-SOUTH-A-80: FS, P1A-EAST-A-100: FS",,,,5D w/Hol 1222-1226,
P1A-EAST-A-10,Not Started,TWNU07.8.8.9.1.3,INSTALL STOREFRONTS FRAMES & GLASS,3,3,0,8/14/2025 08:00,8/14/2025 08:00,8/14/2025 08:00,8/18/2025 16:00,8/18/2025 16:00,8/18/2025 16:00,-50,0,Task Dependent,"P1A-SOUTH-C1/B-10, FAB/DEL-380, FAB/DEL-630","P1A-EAST-A-40, P1A-EAST-A-20, P1A-SOUTH-A-10, FM-1A-EXT-DRY","P1A-EAST-A-40: FS, P1A-EAST-A-20: FS, P1A-SOUTH-A-10: FS, FM-1A-EXT-DRY: FF",,,,5D w/Hol 1222-1226,
P1A-EAST-A-20,Not Started,TWNU07.8.8.9.1.3,WATERPROOF FOR BRICK,2,2,0,8/19/2025 08:00,8/19/2025 08:00,8/19/2025 08:00,8/20/2025 16:00,8/20/2025 16:00,8/20/2025 16:00,10,0,Task Dependent,P1A-EAST-A-10,"P1A-EAST-A-30, P1A-SOUTH-A-20","P1A-EAST-A-30: FS, P1A-SOUTH-A-20: FS",,,,5D w/Hol 1222-1226,
P1A-EAST-A-30,Not Started,TWNU07.8.8.9.1.3,INSTALL EXTERIOR BRICK,3,3,0,8/21/2025 08:00,8/21/2025 08:00,8/21/2025 08:00,8/25/2025 16:00,8/25/2025 16:00,8/25/2025 16:00,10,2,Task Dependent,P1A-EAST-A-20,"P1A-EAST-A-40, P1A-SOUTH-A-30","P1A-EAST-A-40: FS, P1A-SOUTH-A-30: FS",,,,5D w/Hol 1222-1226,
P1A-SOUTH-A-40,Not Started,TWNU07.8.8.9.1.4,STUCCO,3,3,0,9/8/2025 08:00,9/8/2025 08:00,9/8/2025 08:00,9/10/2025 16:00,9/10/2025 16:00,9/10/2025 16:00,5,0,Task Dependent,"P1A-SOUTH-A-10, P1A-SOUTH-A-30, P1A-EAST-A-40, FAB/DEL-420","P1A-SOUTH-A-50, P1A-WEST-A/B-40","P1A-SOUTH-A-50: FS, P1A-WEST-A/B-40: FS",,,,5D w/Hol 1222-1226,
P1A-SOUTH-A-50,Not Started,TWNU07.8.8.9.1.4,PRIME PAINT EXTERIOR,2,2,0,9/11/2025 08:00,9/11/2025 08:00,9/11/2025 08:00,9/12/2025 16:00,9/12/2025 16:00,9/12/2025 16:00,13,8,Task Dependent,"P1A-SOUTH-A-40, P1A-EAST-A-50, FAB/DEL-330","P1A-SOUTH-A-60, P1A-WEST-A/B-50","P1A-SOUTH-A-60: FS, P1A-WEST-A/B-50: FS",,,,5D w/Hol 1222-1226,
P1A-SOUTH-A-60,Not Started,TWNU07.8.8.9.1.4,FINISH PAINT BUILDING EXTERIOR,2,2,0,12/22/2025 08:00,12/22/2025 08:00,12/22/2025 08:00,12/23/2025 16:00,12/23/2025 16:00,12/23/2025 16:00,-49,0,Task Dependent,"P1A-SOUTH-A-50, P1A-EAST-A-60","P1A-SOUTH-A-70, P1A-SOUTH-A-80, P1A-WEST-A/B-60","P1A-SOUTH-A-70: FS, P1A-SOUTH-A-80: FS, P1A-WEST-A/B-60: FS",,,,5D w/Hol 1222-1226,
P1A-SOUTH-A-90,Not Started,TWNU07.8.8.9.1.4,GUTTERS,4,4,0,1/22/2026 08:00,1/22/2026 08:00,1/22/2026 08:00,1/27/2026 16:00,1/27/2026 16:00,1/27/2026 16:00,-43,0,Task Dependent,"P1A-SOUTH-A-80, P1A-EAST-A-100, P1A-SOUTH-A-70, FAB/DEL-450",SITEDEV-S-10,SITEDEV-S-10: FS,,,,5D w/Hol 1222-1226,
P1A-SOUTH-A-70,Not Started,TWNU07.8.8.9.1.4,BUILDING EXTERIOR LIGHTS,3,3,0,12/31/2025 08:00,12/31/2025 08:00,12/31/2025 08:00,1/5/2026 16:00,1/5/2026 16:00,1/5/2026 16:00,-31,12,Task Dependent,"P1A-SOUTH-A-60, P1A-EAST-A-70, FAB/DEL-10",P1A-SOUTH-A-90,P1A-SOUTH-A-90: FS,,,,5D w/Hol 1222-1226,
P1A-SOUTH-A-80,Not Started,TWNU07.8.8.9.1.4,INSTALL SHUTTERS,3,3,0,1/15/2026 08:00,1/15/2026 08:00,1/15/2026 08:00,1/19/2026 16:00,1/19/2026 16:00,1/19/2026 16:00,-41,0,Task Dependent,"P1A-SOUTH-A-60, P1A-EAST-A-80","P1A-SOUTH-A-90, P1A-WEST-A/B-90","P1A-SOUTH-A-90: FS, P1A-WEST-A/B-90: FS",,,,5D w/Hol 1222-1226,
P1A-SOUTH-A-10,Not Started,TWNU07.8.8.9.1.4,INSTALL STOREFRONTS FRAMES & GLASS,8,8,0,8/19/2025 08:00,8/19/2025 08:00,8/19/2025 08:00,8/28/2025 16:00,8/28/2025 16:00,8/28/2025 16:00,-50,0,Task Dependent,"P1A-EAST-A-10, FAB/DEL-380, FAB/DEL-630","P1A-SOUTH-A-40, P1A-SOUTH-A-20, P1A-WEST-A/B-10, FM-1A-EXT-DRY","P1A-SOUTH-A-40: FS, P1A-SOUTH-A-20: FS, P1A-WEST-A/B-10: FF 9, FM-1A-EXT-DRY: FF",,,,5D w/Hol 1222-1226,
P1A-SOUTH-A-20,Not Started,TWNU07.8.8.9.1.4,WATERPROOF FOR BRICK,2,2,0,8/29/2025 08:00,8/29/2025 08:00,8/29/2025 08:00,9/2/2025 16:00,9/2/2025 16:00,9/2/2025 16:00,5,0,Task Dependent,"P1A-SOUTH-A-10, P1A-EAST-A-20","P1A-SOUTH-A-30, P1A-WEST-A/B-20","P1A-SOUTH-A-30: FS, P1A-WEST-A/B-20: FS",,,,5D w/Hol 1222-1226,
P1A-SOUTH-A-30,Not Started,TWNU07.8.8.9.1.4,INSTALL EXTERIOR BRICK,3,3,0,9/3/2025 08:00,9/3/2025 08:00,9/3/2025 08:00,9/5/2025 16:00,9/5/2025 16:00,9/5/2025 16:00,5,0,Task Dependent,"P1A-SOUTH-A-20, P1A-EAST-A-30","P1A-SOUTH-A-40, P1A-WEST-A/B-30","P1A-SOUTH-A-40: FS, P1A-WEST-A/B-30: FS",,,,5D w/Hol 1222-1226,
P1A-WEST-A/B-40,Not Started,TWNU07.8.8.9.1.5,STUCCO,13,13,0,9/11/2025 08:00,9/11/2025 08:00,9/11/2025 08:00,9/29/2025 16:00,9/29/2025 16:00,9/29/2025 16:00,5,0,Task Dependent,"P1A-WEST-A/B-10, P1A-WEST-A/B-30, P1A-SOUTH-A-40, FAB/DEL-420","P1A-WEST-A/B-50, P1A-NORTH-B/C1-20","P1A-WEST-A/B-50: FF 5, P1A-NORTH-B/C1-20: FS",,,,5D w/Hol 1222-1226,
P1A-WEST-A/B-50,Not Started,TWNU07.8.8.9.1.5,PRIME PAINT EXTERIOR,8,8,0,9/25/2025 08:00,9/25/2025 08:00,9/25/2025 08:00,10/6/2025 16:00,10/6/2025 16:00,10/6/2025 16:00,5,4,Task Dependent,"P1A-WEST-A/B-40, P1A-SOUTH-A-50, FAB/DEL-330","P1A-WEST-A/B-60, P1A-NORTH-B/C1-30","P1A-WEST-A/B-60: FS, P1A-NORTH-B/C1-30: FS",,,,5D w/Hol 1222-1226,
P1A-WEST-A/B-60,Not Started,TWNU07.8.8.9.1.5,FINISH PAINT BUILDING EXTERIOR,8,8,0,12/24/2025 08:00,12/24/2025 08:00,12/24/2025 08:00,1/7/2026 16:00,1/7/2026 16:00,1/7/2026 16:00,-49,0,Task Dependent,"P1A-WEST-A/B-50, P1A-SOUTH-A-60","P1A-WEST-A/B-80, P1A-WEST-A/B-70, P1A-WEST-A/B-90, P1A-NORTH-B/C1-40","P1A-WEST-A/B-80: FS, P1A-WEST-A/B-70: FS, P1A-WEST-A/B-90: FS, P1A-NORTH-B/C1-40: FS",,,,5D w/Hol 1222-1226,
P1A-WEST-A/B-80,Not Started,TWNU07.8.8.9.1.5,INSTALL AWNINGS,10,10,0,1/9/2026 08:00,1/9/2026 08:00,1/9/2026 08:00,1/22/2026 16:00,1/22/2026 16:00,1/22/2026 16:00,-50,0,Task Dependent,"P1A-WEST-A/B-60, P1A-EAST-A-90, FAB/DEL-470","P1A-WEST-A/B-100, P1A-NORTH-B/C1-60","P1A-WEST-A/B-100: FS, P1A-NORTH-B/C1-60: FF 8",,,,5D w/Hol 1222-1226,
