csi_code,csi_code_description
07 41 33,PlasticRoofPanels
07 41 43,CompositeRoofPanels
07 41 63,FabricatedRoofPanelAssemblies
07 42 00,WallPanels
07 42 13,MetalWallPanels
07 42 13,FormedMetalWallPanels
07 42 13,MetalPlateWallPanels
07 42 13,InsulatedMetalWallPanels
07 42 13,MetalCompositeMaterialWallPanels
07 42 23,WoodWallPanels
07 42 26,TileWallPanels
07 42 29,TerraCottaWallPanels
07 42 33,PlasticWallPanels
07 42 43,CompositeWallPanels
07 42 46,CementitiousWallPanels
07 42 63,FabricatedWallPanelAssemblies
07 42 93,SoffitPanels
07 44 00,FacedPanels
07 44 13,AggregateCoatedPanels
07 44 16,PorcelainEnameledFacedPanels
07 44 19,Tile-FacedPanels
07 44 23,Ceramic-Tile-FacedPanels
07 44 33,MetalFacedPanels
07 44 53,Glass-Fiber-ReinforcedCementitiousPanels
07 44 56,Mineral-Fiber-ReinforcedCementitiousPanels
07 44 63,FabricatedFacedPanelAssemblies
07 46 00,Siding
07 46 16,AluminumSiding
07 46 19,SteelSiding
07 46 21,ZincSiding
07 46 23,WoodSiding
07 46 24,WoodShingleandShakeSiding
07 46 24,WoodShingleSiding
07 46 24,WoodShakeSiding
07 46 26,HardboardSiding
07 46 29,PlywoodSiding
07 46 33,PlasticSiding
07 46 43,CompositionSiding
07 46 46,Fiber-CementSiding
07 46 63,FabricatedPanelAssemblieswithSiding
07 50 00,MembraneRoofing
07 51 00,Built-UpBituminousRoofing
07 51 13,Built-UpAsphaltRoofing
07 51 13,Cold-AppliedBuilt-UpAsphaltRoofing
07 51 16,Built-UpCoalTarRoofing
07 51 23,Glass-Fiber-ReinforcedAsphaltEmulsionRoofing
07 52 00,ModifiedBituminousMembraneRoofing
07 52 13,Atactic-Polypropylene-ModifiedBituminousMembraneRoofing
07 52 13,ColdAdhesiveAppliedAtactic-Polypropylene-ModifiedBituminousMembrane
,Roofing
07 52 13,Torch-AppliedAtactic-Polypropylene-ModifiedBituminousMembraneRoofing
07 52 13,MechanicallyFastenedAtactic-Polypropylene-ModifiedBituminousMembrane
,Roofing
07 52 16,Styrene-Butadiene-StyreneModifiedBituminousMembraneRoofing
07 52 16,ColdAdhesiveStyrene-Butadiene-StyreneModifiedBituminousMembrane
,Roofing
07 52 16,Hot-MoppedStyrene-Butadiene-StyreneModifiedBituminousMembraneRoofing
07 52 16,Torch-AppliedStyrene-Butadiene-StyreneModifiedBituminousMembrane
,Roofing
07 52 16,MechanicallyFastenedStyrene-Butadiene-StyreneModifiedBituminous
,MembraneRoofing
07 53 00,ElastomericMembraneRoofing
07 53 13,Chlorinated-PolyethyleneRoofing
07 53 16,Chlorosulfonate-PolyethyleneRoofing
07 53 23,Ethylene-Propylene-Diene-MonomerRoofing
07 53 29,PolyisobutyleneRoofing
07 54 00,ThermoplasticMembraneRoofing
07 54 13,Copolymer-AlloyRoofing
07 54 16,KetoneEthyleneEsterRoofing
07 54 19,Polyvinyl-ChlorideRoofing
07 54 23,Thermoplastic-PolyolefinRoofing
07 54 26,Nitrile-Butadiene-PolymerRoofing
07 55 00,ProtectedMembraneRoofing
07 55 51,Built-UpBituminousProtectedMembraneRoofing
07 55 52,ModifiedBituminousProtectedMembraneRoofing
07 55 53,ElastomericProtectedMembraneRoofing
07 55 54,ThermoplasticProtectedMembraneRoofing
07 55 56,Fluid-AppliedProtectedMembraneRoofing
07 55 56,Hot-AppliedRubberizedAsphaltProtectedMembraneRoofing
07 55 63,VegetatedProtectedMembraneRoofing
07 56 00,Fluid-AppliedRoofing
07 57 00,CoatedFoamedRoofing
07 57 13,SprayedPolyurethaneFoamRoofing
07 58 00,RollRoofing
07 60 00,FlashingandSheetMetal
07 61 00,SheetMetalRoofing
07 61 13,StandingSeamSheetMetalRoofing
07 61 16,BattenSeamSheetMetalRoofing
07 61 19,FlatSeamSheetMetalRoofing
07 62 00,SheetMetalFlashingandTrim
07 63 00,SheetMetalRoofingSpecialties
07 64 00,SheetMetalWallCladding
07 64 13,StandingSeamSheetMetalWallCladding
07 64 16,BattenSeamSheetMetalWallCladding
07 64 19,FlatSeamSheetMetalWallCladding
07 65 00,FlexibleFlashing
07 65 13,LaminatedSheetFlashing
07 65 16,ModifiedBituminousSheetFlashing
07 65 19,PlasticSheetFlashing
07 65 23,RubberSheetFlashing
07 65 26,Self-AdheringSheetFlashing
07 70 00,RoofandWallSpecialtiesand
,Accessories
07 71 00,RoofSpecialties
07 71 13,ManufacturedCopings
07 71 16,ManufacturedCounterflashingSystems
07 71 19,ManufacturedGravelStopsandFasciae
07 71 23,ManufacturedGuttersandDownspouts
07 71 23,GutterDebrisGuards
07 71 26,Reglets
07 71 29,ManufacturedRoofExpansionJoints
07 71 33,ManufacturedScuppers
07 72 00,RoofAccessories
07 72 13,ManufacturedCurbs
07 72 23,ReliefVents
07 72 26,RidgeVents
07 72 33,RoofHatches
07 72 36,SmokeVents
07 72 39,OperableRoofVents
07 72 43,RoofWalkBoards
07 72 46,RoofWalkways
07 72 53,SnowGuards
07 72 63,WasteContainmentAssemblies
07 72 73,VegetatedRoofSystems
07 76 00,RoofPavers
07 76 13,RoofBallastPavers
07 76 16,RoofDeckingPavers
07 77 00,WallSpecialties
07 80 00,FireandSmokeProtection
07 81 00,AppliedFireproofing
07 81 13,CementAggregateFireproofing
07 81 16,CementitiousFireproofing
07 81 19,FoamedMagnesium-OxychlorideFireproofing
07 81 23,IntumescentFireproofing
07 81 26,MagnesiumCementFireproofing
07 81 29,Mineral-FiberCementitiousFireproofing
07 81 33,Mineral-FiberFireproofing
07 82 00,BoardFireproofing
07 82 13,Calcium-SilicateBoardFireproofing
07 82 16,Slag-FiberBoardFireproofing
07 84 00,Firestopping
07 84 13,PenetrationFirestopping
07 84 13,PenetrationFirestoppingMortars
07 84 13,PenetrationFirestoppingDevices
07 84 43,JointFirestopping
07 84 53,BuildingPerimeterFirestopping
07 86 00,SmokeSeals
07 87 00,SmokeContainmentBarriers
07 90 00,JointProtection
07 91 00,PreformedJointSeals
07 91 13,CompressionSeals
07 91 16,JointGaskets
07 91 23,BackerRods
07 91 26,JointFillers
07 92 00,JointSealants
07 92 13,ElastomericJointSealants
07 92 16,RigidJointSealants
07 92 19,AcousticalJointSealants
07 95 00,ExpansionControl
07 95 13,ExpansionJointCoverAssemblies
07 95 13,InteriorExpansionJointCoverAssemblies
07 95 13,ExteriorExpansionJointCoverAssemblies
07 95 13,ParkingDeckExpansionJointCoverAssemblies
07 95 53,JointSlideBearings
07 95 63,BridgeExpansionJointCoverAssemblies
08 00 00,Openings
03 67 39,OperationandMaintenanceofOpenings
04 03 91,OperationandMaintenanceofDoorsandFrames
04 07 56,OperationandMaintenanceofMetalDoorsandFrames
04 18 52,OperationandMaintenanceofWoodDoors
04 22 17,OperationandMaintenanceofPlasticDoors
04 25 83,OperationandMaintenanceofCompositeDoors
04 29 48,OperationandMaintenanceofIntegratedDoorOpeningAssemblies
04 76 96,OperationandMaintenanceofSpecialtyDoorsandFrames
04 84 27,OperationandMaintenanceofSlidingGlassDoors
04 87 92,OperationandMaintenanceofCoilingDoorsandGrilles
04 91 57,OperationandMaintenanceofSpecialFunctionDoors
04 95 22,OperationandMaintenanceofFoldingDoorsandGrilles
04 98 88,OperationandMaintenanceofPanelDoors
05 09 83,OperationandMaintenanceofTrafficDoors
05 13 49,"OperationandMaintenanceofEntrances,Storefronts,andCurtainWalls"
05 17 14,OperationandMaintenanceofEntrances
05 20 79,OperationandMaintenanceofStorefronts
05 28 10,OperationandMaintenanceofCurtainWalls
05 50 01,OperationandMaintenanceofWindows
05 53 66,OperationandMaintenanceofMetalWindows
05 57 32,OperationandMaintenanceofWoodWindows
08 01 53,WoodWindowRepairs
08 01 53,WoodWindowRehabilitation
08 01 53,WoodWindowReplacement
08 01 53,WoodWindowRestoration
08 01 53,HistoricTreatmentofWoodWindows
05 60 97,OperationandMaintenanceofPlasticWindows
05 64 62,OperationandMaintenanceofCompositeWindows
05 71 93,OperationandMaintenanceofSpecialFunctionWindows
05 86 54,OperationandMaintenanceofSkylightsandRoofWindows
05 90 19,OperationandMaintenanceofRoofWindows
05 93 84,OperationandMaintenanceofUnitSkylights
05 97 49,OperationandMaintenanceofMetal-FramedSkylights
06 01 15,OperationandMaintenanceofPlastic-FramedSkylights
06 23 06,OperationandMaintenanceofHardware
06 26 71,OperationandMaintenanceofDoorHardware
06 37 67,OperationandMaintenanceofAccessControlHardware
06 41 32,OperationandMaintenanceofWindowHardware
06 59 59,MaintenanceofGlazing
06 63 24,MaintenanceofGlassGlazing
06 74 20,MaintenanceofPlasticGlazing
06 88 81,MaintenanceofSpecialFunctionGlazing
06 96 11,OperationandMaintenanceofLouversandVents
06 99 76,OperationandMaintenanceofLouvers
07 03 42,OperationandMaintenanceofLouveredEquipmentEnclosures
07 14 37,OperationandMaintenanceofVents
03 67 41,ConservationTreatmentforPeriodOpenings
04 07 58,ConservationTreatmentforPeriodMetalDoorsandFrames
08 03 11,ConservationTreatmentforPeriodBronzeDoorsandFrames
04 18 54,ConservationTreatmentforPeriodWoodDoors
08 03 14,ConservationTreatmentforPeriodMetal-FacedWoodDoors
08 03 14,ConservationTreatmentforPeriodStileandRailWoodDoors
04 76 98,ConservationTreatmentforPeriodSpecialtyDoorsandFrames
04 91 59,ConservationTreatmentforPeriodSpecialFunctionDoors
08 03 35,ConservationTreatmentforPeriodVaultDoors
05 50 03,ConservationTreatmentforPeriodWindows
05 53 68,ConservationTreatmentforPeriodMetalWindows
08 03 51,ConservationTreatmentforPeriodBronzeWindows
08 03 51,ConservationTreatmentforPeriodSteelWindows
05 57 34,ConservationTreatmentforPeriodWoodWindows
06 23 08,ConservationTreatmentforPeriodHardware
06 26 73,ConservationTreatmentforPeriodDoorHardware
06 41 34,ConservationTreatmentforPeriodWindowHardware
06 96 13,ConservationTreatmentforPeriodLouversandVents
06 99 78,ConservationTreatmentforPeriodLouvers
07 14 39,ConservationTreatmentforPeriodVents
03 67 43,CommonWorkResultsforOpenings
03 85 69,SelectiveDemolitionforOpenings
03 67 44,SchedulesforOpenings
04 03 96,DoorSchedule
08 06 10,DoorTypeSchedule
08 06 10,FrameTypeSchedule
05 13 54,"SchedulesforEntrances,Storefronts,andCurtainWalls"
05 17 19,EntranceSchedule
05 20 84,StorefrontSchedule
05 50 06,WindowSchedule
05 86 59,SkylightSchedule
06 23 11,HardwareSchedule
06 26 76,DoorHardwareSchedule
06 59 64,GlazingSchedule
06 96 16,LouverandVentSchedule
03 67 46,CommissioningofOpenings
03 67 48,DoorsandFrames
03 67 49,MetalDoorsandFrames
04 14 97,HollowMetalDoorsandFrames
08 11 13,StandardHollowMetalDoorsandFrames
08 11 13,CustomHollowMetalDoorsandFrames
04 25 93,AluminumDoorsandFrames
04 36 88,Stainless-SteelDoorsandFrames
04 51 49,BronzeDoorsandFrames
05 97 59,MetalScreenandStormDoorsandFrames
08 11 63,SteelScreenandStormDoorsandFrames
08 11 63,AluminumScreenandStormDoorsandFrames
06 08 55,MetalScreenDoorsandFrames
08 11 66,SteelScreenDoorsandFrames
08 11 66,AluminumScreenDoorsandFrames
06 19 51,MetalStormDoorsandFrames
08 11 69,SteelStormDoorsandFrames
08 11 69,AluminumStormDoorsandFrames
06 34 12,SlidingMetalFireDoors
06 37 77,SlidingMetalGrilles
03 67 50,MetalFrames
04 14 98,HollowMetalFrames
08 12 13,StandardHollowMetalFrames
08 12 14,CustomHollowMetalFrames
04 25 94,AluminumFrames
04 36 89,Stainless-SteelFrames
04 51 50,BronzeFrames
03 67 51,MetalDoors
04 14 99,HollowMetalDoors
08 13 13,StandardHollowMetalDoors
08 13 14,CustomHollowMetalDoors
04 25 95,AluminumDoors
08 13 16,AluminumTerraceDoors
04 36 90,Stainless-SteelDoors
04 51 51,BronzeDoors
06 34 14,SlidingMetalDoors
06 45 10,BifoldingMetalDoors
03 67 52,WoodDoors
04 15 00,CarvedWoodDoors
04 25 96,FlushWoodDoors
04 51 52,CladWoodDoors
08 14 23,Metal-FacedWoodDoors
08 14 23,Plastic-Laminate-FacedWoodDoors
08 14 23,Plastic-FacedWoodDoors
08 14 23,Molded-Hardboard-FacedWoodDoors
04 73 44,PrefinishedWoodDoors
04 88 05,StileandRailWoodDoors
08 14 33,WoodTerraceDoors
06 08 58,WoodScreenDoors
06 19 54,WoodStormDoors
06 34 15,SlidingWoodDoors
06 45 11,BifoldingWoodDoors
03 67 53,PlasticDoors
04 15 01,LaminatedPlasticDoors
04 25 97,SolidPlasticDoors
06 08 59,PlasticScreenDoors
06 19 55,PlasticStormDoors
06 34 16,SlidingPlasticDoors
06 45 12,BifoldingPlasticDoors
03 67 54,CompositeDoors
04 15 02,FiberglassDoors
06 34 17,SlidingCompositeDoors
06 45 13,BifoldingCompositeDoors
03 67 55,IntegratedDoorOpeningAssemblies
04 15 03,IntegratedMetalDoorOpeningAssemblies
04 51 55,IntegratedWoodDoorOpeningAssemblies
04 88 08,IntegratedPlasticDoorOpeningAssemblies
05 24 60,IntegratedCompositeDoorOpeningAssemblies
03 67 68,SpecialtyDoorsandFrames
03 67 69,AccessDoorsandPanels
04 15 17,AccessDoorsandFrames
08 31 14,SecurityAccessDoorsandFrames
04 26 13,AccessPanelsandFrames
08 32 00,SlidingGlassDoors
08 32 13,SlidingAluminum-FramedGlassDoors
08 32 16,SlidingPlastic-FramedGlassDoors
08 32 19,SlidingWood-FramedGlassDoors
08 33 00,CoilingDoorsandGrilles
08 33 13,CoilingCounterDoors
08 33 16,CoilingCounterGrilles
08 33 23,OverheadCoilingDoors
08 33 23,OverheadRapidCoilingDoors
08 33 26,OverheadCoilingGrilles
08 33 33,SideCoilingDoors
08 33 36,SideCoilingGrilles
08 33 43,OverheadCoilingSmokeCurtains
08 33 44,OverheadCoilingFireCurtains
08 34 00,SpecialFunctionDoors
08 34 13,ColdStorageDoors
08 34 16,HangarDoors
08 34 19,IndustrialDoors
08 34 33,LightproofDoors
08 34 36,DarkroomDoors
08 34 46,Radio-Frequency-InterferenceShieldingDoors
08 34 49,RadiationShieldingDoorsandFrames
08 34 49,NeutronShieldingDoorsandFrames
08 34 53,SecurityDoorsandFrames
08 34 56,SecurityGates
08 34 58,FileRoomDoorsandFrames
08 34 59,VaultDoorsandDayGates
08 34 73,SoundControlDoorAssemblies
08 34 73,MetalSoundControlDoorAssemblies
08 34 73,WoodSoundControlDoorAssemblies
08 35 00,FoldingDoorsandGrilles
08 35 13,FoldingDoors
08 35 13,AccordionFoldingDoors
08 35 13,AccordionFoldingFireDoors
08 35 13,PanelFoldingDoors
08 35 16,FoldingGrilles
08 35 16,AccordionFoldingGrilles
08 36 00,PanelDoors
08 36 13,SectionalDoors
08 36 16,Single-PanelDoors
08 36 19,Multi-LeafVerticalLiftDoors
08 36 23,TelescopingVerticalLiftDoors
08 38 00,TrafficDoors
08 38 13,FlexibleStripDoors
08 38 16,FlexibleTrafficDoors
08 38 19,RigidTrafficDoors
08 39 00,Pressure-ResistantDoors
08 39 13,AirtightDoors
08 39 19,WatertightDoors
08 39 53,Blast-ResistantDoors
08 40 00,"Entrances,Storefronts,andCurtainWalls"
08 41 00,EntrancesandStorefronts
08 41 13,Aluminum-FramedEntrancesandStorefronts
08 41 13,Fire-RatedAluminum-FramedEntrancesandStorefronts
08 41 16,Bronze-FramedEntrancesandStorefronts
08 41 19,Stainless-Steel-FramedEntrancesandStorefronts
08 41 23,Steel-FramedEntrancesandStorefronts
08 41 26,All-GlassEntrancesandStorefronts
08 41 26,PointSupportedAll-GlassStorefronts
08 42 00,Entrances
08 42 13,Aluminum-FramedEntrances
08 42 26,All-GlassEntrances
08 42 29,AutomaticEntrances
08 42 29,FoldingAutomaticEntrances
08 42 29,SlidingAutomaticEntrances
08 42 29,SwingingAutomaticEntrances
08 42 33,RevolvingDoorEntrances
08 42 33,SecurityRevolvingDoorEntrances
08 42 36,BalancedDoorEntrances
08 42 39,Pressure-ResistantEntrances
08 42 43,IntensiveCareUnit/CriticalCareUnitEntrances
08 43 00,Storefronts
08 43 11,Timber-FramedStorefronts
08 43 13,Aluminum-FramedStorefronts
08 43 13,Fire-RatedAluminumStorefronts
08 43 16,Bronze-FramedStorefronts
08 43 19,Stainless-Steel-FramedStorefronts
08 43 23,Steel-FramedStorefronts
08 43 26,All-GlassStorefronts
08 43 27,ChannelGlassStorefronts
08 43 29,SlidingStorefronts
08 44 00,CurtainWallandGlazedAssemblies
08 44 11,GlazedTimberCurtainWalls
08 44 12,GlazedCompositeCurtainWall
08 44 12,GlazedFiberglassCurtainWall
08 44 13,GlazedAluminumCurtainWalls
08 44 16,GlazedBronzeCurtainWalls
08 44 18,GlazedSteelCurtainWalls
08 44 19,GlazedStainless-SteelCurtainWalls
08 44 23,StructuralSealantGlazedCurtainWalls
08 44 26,StructuralGlassCurtainWalls
08 44 26,GlassFramedPointSupportedGlassCurtainWalls
08 44 26,MetalFramedPointSupportedGlassCurtainWalls
08 44 26,CableFramedPointSupportedGlassCurtainWalls
08 44 33,SlopedGlazingAssemblies
08 45 00,TranslucentWallandRoofAssemblies
08 45 13,Structured-Polycarbonate-PanelAssemblies
08 45 23,Fiberglass-Sandwich-PanelAssemblies
08 46 00,WindowWallAssemblies
08 50 00,Windows
08 51 00,MetalWindows
08 51 13,AluminumWindows
08 51 16,BronzeWindows
08 51 19,Stainless-SteelWindows
08 51 23,SteelWindows
08 51 23,Hot-RolledSteelWindows
08 51 23,Cold-RolledSteelWindows
08 51 66,MetalWindowScreens
08 51 69,MetalStormWindows
08 52 00,WoodWindows
08 52 13,Metal-CladWoodWindows
08 52 16,Plastic-CladWoodWindows
08 52 66,WoodWindowScreens
08 52 69,WoodStormWindows
08 53 00,PlasticWindows
08 53 13,VinylWindows
08 53 66,VinylWindowScreens
08 53 69,VinylStormWindows
08 54 00,CompositeWindows
08 54 13,FiberglassWindows
08 54 66,FiberglassWindowScreens
08 54 69,FiberglassStormWindows
08 55 00,Pressure-ResistantWindows
08 55 13,Tornado-ResistantWindows
08 55 23,Blast-ResistantWindows
08 56 00,SpecialFunctionWindows
08 56 19,PassWindows
08 56 46,Radio-Frequency-InterferenceShieldingWindows
08 56 49,RadiationShieldingWindows
08 56 53,SecurityWindows
08 56 56,SecurityWindowScreens
08 56 59,ServiceandTellerWindowUnits
08 56 73,SoundControlWindows
08 56 88,InteriorInsulatingWindows
08 60 00,RoofWindowsandSkylights
08 61 00,RoofWindows
08 61 13,MetalRoofWindows
08 61 16,WoodRoofWindows
08 62 00,UnitSkylights
08 62 13,DomedUnitSkylights
08 62 16,PyramidalUnitSkylights
08 62 19,VaultedUnitSkylights
08 62 23,TubularSkylights
08 63 00,Metal-FramedSkylights
08 63 13,DomedMetal-FramedSkylights
08 63 16,PyramidalMetal-FramedSkylights
08 63 19,VaultedMetal-FramedSkylights
08 63 23,RidgeMetal-FramedSkylights
08 63 53,MotorizedMetal-FramedSkylights
08 64 00,Plastic-FramedSkylights
08 65 00,GlazedCanopies
08 65 13,SuspendedGlazedCanopies
08 67 00,SkylightProtectionandScreens
08 70 00,Hardware
08 71 00,DoorHardware
08 71 13,AutomaticDoorOperators
08 71 53,SecurityDoorHardware
08 75 00,WindowHardware
08 75 13,AutomaticWindowEquipment
08 75 16,WindowOperators
08 78 00,SpecialFunctionHardware
08 79 00,HardwareAccessories
08 79 13,KeyStorageEquipment
08 80 00,Glazing
08 81 00,GlassGlazing
08 81 13,DecorativeGlassGlazing
08 81 23,ExteriorGlassGlazing
08 81 26,InteriorGlassGlazing
08 83 00,Mirrors
08 83 13,MirroredGlassGlazing
08 83 16,MirroredPlasticGlazing
08 84 00,PlasticGlazing
08 84 13,DecorativePlasticGlazing
08 85 00,GlazingAccessories
08 87 00,GlazingSurfaceFilms
08 87 13,SolarControlFilms
08 87 23,SafetyandSecurityFilms
08 87 23,SafetyFilms
08 87 23,SecurityFilms
08 87 26,BirdControlFilm
08 87 33,DecorativeFilms
08 88 00,SpecialFunctionGlazing
08 88 13,Fire-ResistantGlazing
08 88 19,Hurricane-ResistantGlazing
08 88 23,CableSuspendedGlazing
08 88 33,TransparentMirroredGlazing
08 88 36,SwitchableGlass
08 88 36,ElectronicallyControlledSwitchableGlass
08 88 39,Pressure-ResistantGlazing
08 88 49,Radiation-ResistantGlazing
08 88 53,SecurityGlazing
08 88 56,Ballistics-ResistantGlazing
08 90 00,LouversandVents
08 91 00,Louvers
08 91 13,MotorizedWallLouvers
08 91 16,OperableWallLouvers
08 91 19,FixedLouvers
08 91 26,DoorLouvers
08 92 00,LouveredEquipmentEnclosures
08 95 00,Vents
08 95 13,SoffitVents
08 95 16,WallVents
08 95 33,ExplosionVents
08 95 43,FloodVents
09 00 00,Finishes
03 67 70,MaintenanceofFinishes
04 40 75,MaintenanceofPlasterandGypsumBoard
09 01 21,PlasterRestoration
04 77 27,MaintenanceofTiling
09 01 31,TileRestoration
05 50 32,MaintenanceofCeilings
09 01 51,CeilingRestoration
05 86 85,MaintenanceofFlooring
09 01 61,FlooringRestoration
06 23 37,MaintenanceofWallFinishes
09 01 71,WallFinishRestoration
06 59 90,MaintenanceofAcousticTreatment
06 96 42,MaintenanceofPaintingandCoating
09 01 91,PaintCleaning
09 01 91,MaintenanceRepainting
09 01 91,MaintenanceCoatings
09 01 91,Repainting
09 01 91,PaintRestoration
09 01 91,CoatingRestoration
09 01 91,PaintPreservation
03 67 72,ConservationTreatmentofPeriodFinishes
04 44 42,ConservationTreatmentforPeriodPlasterAssemblies
04 59 03,ConservationTreatmentforPeriodPlastering
09 03 25,ConservationTreatmentforPeriodLime-BasedPlaster
04 77 29,ConservationTreatmentforPeriodTile
05 50 34,ConservationTreatmentforPeriodCeilings
05 53 99,ConservationTreatmentforPeriodSuspendedCeilings
05 72 26,ConservationTreatmentforTexturedCeilings
09 03 56,ConservationTreatmentforPeriodMetal-PanelTexturedCeilings
05 86 87,ConservationTreatmentforPeriodFlooring
05 97 82,ConservationTreatmentforPeriodMasonryFlooring
09 03 63,ConservationTreatmentforPeriodBrickFlooring
09 03 63,ConservationTreatmentforPeriodStoneFlooring
06 01 48,ConservationTreatmentforPeriodWoodFlooring
09 03 64,ConservationTreatmentforPeriodWoodStripandPlankFlooring
06 05 13,ConservationTreatmentforPeriodResilientFlooring
09 03 65,ConservationTreatmentforPeriodResilientSheetFlooring
06 08 78,ConservationTreatmentforPeriodTerrazzoFlooring
06 23 39,ConservationTreatmentforPeriodWallFinishes
06 30 70,ConservationTreatmentforPeriodWallCoverings
06 96 44,ConservationTreatmentforPeriodPaintingandCoating
07 00 09,ConservationTreatmentforPeriodPaintedSurfaces
09 03 91,ConservationTreatmentforPeriodExteriorPainting
09 03 91,ConservationTreatmentforPeriodInteriorPainting
03 67 74,CommonWorkResultsforFinishes
03 86 00,SelectiveDemolitionforFinishes
04 15 22,CommonFinishes
05 90 54,CommonWorkResultsforFlooringPreparation
09 05 61,MoistureVaporEmissionControl
06 27 06,AcousticUnderlayment
03 67 75,SchedulesforFinishes
09 06 00,RoomFinishSchedule
04 40 80,SchedulesforPlasterandGypsumBoard
04 77 32,SchedulesforTiling
05 50 37,SchedulesforCeilings
05 86 90,SchedulesforFlooring
06 23 42,SchedulesforWallFinishes
06 59 95,SchedulesforAcousticalTreatment
06 96 47,SchedulesforPaintingandCoating
09 06 90,PaintSchedule
03 67 77,CommissioningofFinishes
03 67 89,PlasterandGypsumBoard
03 67 90,PlasterandGypsumBoardAssemblies
04 15 38,PlasterAssemblies
04 26 34,GypsumBoardAssemblies
09 21 16,GypsumBoardShaftWallAssemblies
09 21 16,GypsumBoardAreaSeparationWallAssemblies
03 67 91,SupportsforPlasterandGypsumBoard
04 15 39,MetalFurring
09 22 13,MetalChannelFurring
09 22 13,ResilientChannelFurring
04 26 35,Non-StructuralMetalFraming
09 22 16,Non-StructuralMetalStudFraming
04 62 87,SuspensionSystems
09 22 26,MetalSuspensionSystems
09 22 26,PlasticSuspensionSystems
04 99 40,Lath
09 22 36,GypsumLath
09 22 36,MetalLath
05 10 35,VeneerPlasterBase
03 67 92,GypsumPlastering
04 15 40,AcousticalGypsumPlastering
06 67 42,FireproofGypsumPlastering
03 67 93,CementPlastering
04 15 41,AdobeFinish
04 51 93,CementStucco
04 88 46,CementParging
03 67 94,OtherPlastering
04 15 42,AcrylicPlastering
09 25 13,AcrylicPlasterFinish
04 51 94,LimeBasedPlastering
04 62 90,NaturalClayPlastering
03 67 95,VeneerPlastering
04 15 43,GypsumVeneerPlastering
03 67 96,PlasterFabrications
04 15 44,Glass-Fiber-ReinforcedGypsumFabrications
04 51 96,SimulatedPlasterFabrications
03 67 97,BackingBoardsandUnderlayments
04 15 45,CementitiousBackingBoards
04 26 41,Glass-MatFacedGypsumBackingBoards
04 37 36,FiberedGypsumBackingBoards
03 67 98,GypsumBoard
06 67 48,GypsumBoardFireproofing
03 67 99,Tiling
04 15 47,CeramicTiling
04 26 43,QuarryTiling
04 37 38,PaverTiling
04 51 99,GlassMosaicTiling
04 62 95,PlasticTiling
04 73 91,MetalTiling
04 88 52,StoneTiling
04 99 48,ConcreteTiling
05 10 43,BrickTiling
09 31 00,Thin-SetTiling
09 31 13,Thin-SetCeramicTiling
09 31 16,Thin-SetQuarryTiling
09 31 19,Thin-SetPaverTiling
09 31 23,Thin-SetGlassMosaicTiling
09 31 26,Thin-SetPlasticTiling
09 31 29,Thin-SetMetalTiling
09 31 33,Thin-SetStoneTiling
09 31 36,Thin-SetConcreteTiling
09 32 00,Mortar-BedTiling
09 32 13,Mortar-BedCeramicTiling
09 32 16,Mortar-BedQuarryTiling
09 32 19,Mortar-BedPaverTiling
09 32 23,Mortar-BedGlassMosaicTiling
09 32 26,Mortar-BedPlasticTiling
09 32 29,Mortar-BedMetalTiling
09 32 33,Mortar-BedStoneTiling
09 32 36,Mortar-BedConcreteTiling
09 33 00,ConductiveTiling
09 33 13,ConductiveCeramicTiling
09 33 16,ConductiveQuarryTiling
09 33 19,ConductivePaverTiling
09 33 23,ConductiveGlassMosaicTiling
09 33 26,ConductivePlasticTiling
09 33 29,ConductiveMetalTiling
09 33 33,ConductiveStoneTiling
09 33 36,ConductiveConcreteTiling
09 34 00,Waterproofing-MembraneTiling
09 34 13,Waterproofing-MembraneCeramicTiling
09 34 16,Waterproofing-MembraneQuarryTiling
09 34 19,Waterproofing-MembranePaverTiling
09 34 23,Waterproofing-MembraneGlassMosaicTiling
09 34 26,Waterproofing-MembranePlasticTiling
09 34 29,Waterproofing-MembraneMetalTiling
09 34 33,Waterproofing-MembraneStoneTiling
09 34 36,Waterproofing-MembraneConcreteTiling
09 35 00,Chemical-ResistantTiling
09 35 13,Chemical-ResistantCeramicTiling
09 35 16,Chemical-ResistantQuarryTiling
09 35 19,Chemical-ResistantPaverTiling
09 35 23,Chemical-ResistantGlassMosaicTiling
09 35 26,Chemical-ResistantPlasticTiling
09 35 29,Chemical-ResistantMetalTiling
09 35 33,Chemical-ResistantStoneTiling
09 35 36,Chemical-ResistantConcreteTiling
09 50 00,Ceilings
09 51 00,AcousticalCeilings
09 51 13,AcousticalPanelCeilings
09 51 14,AcousticalFabric-FacedPanelCeilings
09 51 23,AcousticalTileCeilings
09 51 26,AcousticalWoodCeilings
09 51 33,AcousticalMetalPanCeilings
09 51 33,AcousticalSnap-inMetalPanCeilings
09 51 53,Direct-AppliedAcousticalCeilings
09 53 00,AcousticalCeilingSuspensionAssemblies
09 53 13,CurvedProfileCeilingSuspensionAssemblies
09 53 23,MetalAcousticalCeilingSuspensionAssemblies
09 53 33,PlasticAcousticalCeilingSuspensionAssemblies
09 54 00,SpecialtyCeilings
09 54 13,OpenMetalMeshCeilings
09 54 16,LuminousCeilings
09 54 19,MirrorPanelCeilings
