stage,csi_code,csi_code_description
Preconstruction,02-01-800,ARCHITECTURAL SERVICES
Preconstruction,02-01-820,CONSTRUCTION DOCUMENTS
Preconstruction,02-01-821,LEED CERTIFICATION
Preconstruction,02-01-830,SHOP DRAWINGS
Preconstruction,02-01-840,PERMITTING & GOVERNMENT APPROV
Preconstruction,02-01-850,CONSTRUCTION ADMINISTRATION
Preconstruction,02-01-860,SCHEMATIC DESIGN
Preconstruction,02-01-870,PHOTOGRAPHS
Preconstruction,02-01-915,COMMISSIONING
Preconstruction,02-02-000,SITEWORK
Preconstruction,02-02-010,SITEWORK
Preconstruction,02-02-055,SOILS
Preconstruction,02-02-060,AGGREGATE
Preconstruction,02-02-070,GEOSYNTHETICS
Preconstruction,02-02-100,SITE REMEDIATION
Preconstruction,02-02-101,CLEARING HAND
Preconstruction,02-02-102,CLEARING & GRUBBING
Preconstruction,02-02-104,SHRUB & TREE RELOCATION
Preconstruction,02-02-110,EXCAV REMOVE HNDL HAZARDOUS MA
Preconstruction,02-02-111,ASBESTOS ABATEMENT
Preconstruction,02-02-112,"INTERIOR CLEAN-UP, DEMO, EMERG"
Preconstruction,02-02-115,UNDERGROUND STORAGE TANK REMOV
Preconstruction,02-02-120,OFF-SITE TRANSPORTATION & DISP
Preconstruction,02-02-150,HAZARDOUS WASTE RECOVERY
Preconstruction,02-02-200,SITE PREPARATION
Preconstruction,02-02-201,SURVEY
Preconstruction,02-02-210,SUBSURFACE INVESTIGATION
Preconstruction,02-02-211,BORING & EXPLORATORY DRILLING
Preconstruction,02-02-212,CORE DRILLING
Preconstruction,02-02-213,GEOPHYSICAL INVESTIGATIONS
Preconstruction,02-02-215,RIP RAP
Preconstruction,02-02-216,STANDARD PENETRATION TESTING
Preconstruction,02-02-217,TEST PITS
Preconstruction,02-02-218,EXPLORATORY DEMOLITION
Preconstruction,02-02-220,SITE DEMOLITION
Preconstruction,02-02-221,BUILDING DEMOLITION
Preconstruction,02-02-222,MINOR DEMOLITION FOR REMODELIN
Preconstruction,02-02-223,SELECTIVE SITE DEMOLITION
Preconstruction,02-02-224,FILL (REMOVE FILL FROM SITE)
Preconstruction,02-02-225,ASBESTOS ABATEMENT
Preconstruction,02-02-226,DEMUCKING
Preconstruction,02-02-227,WASTE MATERIAL DISPOSAL
Preconstruction,02-02-228,SILT MONITOR
Preconstruction,02-02-230,SITE CLEARING
Preconstruction,02-02-231,CLEARING & GRUBBING
Preconstruction,02-02-232,SELECTIVE CLEARING
Preconstruction,02-02-233,SELECTIVE TREE REMOVAL & TRIMM
Preconstruction,02-02-234,SOD STRIPPING
Preconstruction,02-02-236,TREE PRUNING
Preconstruction,02-02-240,DEWATERING
Preconstruction,02-02-250,SHORING & UNDERPINNING
Preconstruction,02-02-251,FOUNDATION GROUTING
Preconstruction,02-02-254,SHEETPILING
Preconstruction,02-02-257,SOIL STABILIZATION
Preconstruction,02-02-258,UNDERPINNING
Preconstruction,02-02-259,VIBROFLOTATION & DENSIFICATION
Preconstruction,02-02-260,EXCAVATION SUPPORT & PROTECTIO
Preconstruction,02-02-261,ANCHOR TIEBACKS
Preconstruction,02-02-276,SEAWALL
Preconstruction,02-02-290,SITE MONITORING
Preconstruction,02-02-300,EARTHWORK
Preconstruction,02-02-310,EARTHWORK
Preconstruction,02-02-311,FINISH GRADING
Preconstruction,02-02-312,ROUGH GRADING
Preconstruction,02-02-315,EXCAVATION & FILL
Preconstruction,02-02-316,BACKFILL
Preconstruction,02-02-317,COMPACTION
Preconstruction,02-02-318,EXCAVATION
Preconstruction,02-02-319,FILL
Preconstruction,02-02-320,AUGER PILES
Preconstruction,02-02-322,LAYOUT
Preconstruction,02-02-323,PILE LOG
Preconstruction,02-02-325,DREDGING
Preconstruction,02-02-330,PRESSURE GROUT
Preconstruction,02-02-335,SUBGRADE & ROADBED
Preconstruction,02-02-340,SOIL STABILIZATION
Preconstruction,02-02-350,GUNITE RETAINING WALL (ALLOWAN
Preconstruction,02-02-360,SOIL TREATMENT
Preconstruction,02-02-370,EROSION & SEDIMENTATION CONTRO
Preconstruction,02-02-371,DUST CONTROL
Preconstruction,02-02-390,SHORELINE PROTECTION & MOORING
Preconstruction,02-02-400,TUNNELING BORING & JACKING
Preconstruction,02-02-445,BORING OR JACKING
Preconstruction,02-02-450,FOUNDATION & LOAD-BEARING ELEM
Preconstruction,02-02-455,DRIVEN PILES
Preconstruction,02-02-456,CAST-IN-PLACE CONCRETE PILES
Preconstruction,02-02-457,DRIVEN PILE LOAD TESTS
Preconstruction,02-02-458,PRECAST CONCRETE PILES
Preconstruction,02-02-465,BORED PILES
Preconstruction,02-02-466,AUGER CAST GROUT PILES
Preconstruction,02-02-467,BORED & AUGERED PILE LOAT TEST
Preconstruction,02-02-468,BORED & AUGERED PILE REPAIRS
Preconstruction,02-02-469,LAYOUT
Preconstruction,02-02-470,SPOIL REMOVAL
Preconstruction,02-02-471,ENGINEERING & MONITORING
Preconstruction,02-02-480,FOUNDATION WALLS
Preconstruction,02-02-495,INSTRUMENTATION & MONITORING
Preconstruction,02-02-500,SITE DRAINAGE
Preconstruction,02-02-505,SITE UTILITIES
Preconstruction,02-02-510,WATER DISTRIBUTION
Preconstruction,02-02-520,WELLS
Preconstruction,02-02-530,SANITARY SEWERAGE
Preconstruction,02-02-540,SEPTIC TANK SYSTEMS
Preconstruction,02-02-550,SITE UTILITIES
Preconstruction,02-02-560,"SITE FIRE, TAP, INSP. STREET R"
Preconstruction,02-02-580,ELECTRICAL & COMMUNICATION STR
Preconstruction,02-02-590,SITE GROUNDING
Preconstruction,02-02-600,DRAINAGE & CONTAINMENT
Preconstruction,02-02-604,SHELL BASE
Preconstruction,02-02-608,CRUSHED STONE
Preconstruction,02-02-610,PIPE CULVERTS
Preconstruction,02-02-612,CONCRETE PAVING
Preconstruction,02-02-613,PREPARATION WORK FOR PAVER SYS
Preconstruction,02-02-615,CONCRETE PAVER SYSTEMS
Preconstruction,02-02-616,TILE PAVERS
Preconstruction,02-02-620,SUBDRAINAGE
Preconstruction,02-02-630,STORM DRAINAGE
Preconstruction,02-02-634,DECKS
Preconstruction,02-02-640,CULVERTS & MFG CONSTRUCTION
Preconstruction,02-02-700,BASES BALLASTS PAVEMENT & APPU
Preconstruction,02-02-710,BOUND BASE COURSES
Preconstruction,02-02-712,PLANTER WALLS
Preconstruction,02-02-720,UNBOUND BASE COURSES & BALLAST
Preconstruction,02-02-730,AGGREGATE SURFACING
Preconstruction,02-02-740,ASPHALT PAVEMENT
Preconstruction,02-02-750,RIGID PAVEMENT
Preconstruction,02-02-755,CEMENT CONCRETE SHOULDERS
Preconstruction,02-02-760,PAVING SPECIALTIES
Preconstruction,02-02-763,PAINTED TRAFFIC LINES & MARKIN
Preconstruction,02-02-768,STAMPED PATTERN CONCRETE PAVEM
Preconstruction,02-02-770,CURBS & GUTTERS
Preconstruction,02-02-775,SIDEWALKS
Preconstruction,02-02-780,UNIT PAVERS
Preconstruction,02-02-785,ASPHALT PAVEMENT COATING
Preconstruction,02-02-790,ATHLETIC & RECREATIONAL SURFAC
Preconstruction,02-02-792,TENNIS COURT
Preconstruction,02-02-795,POROUS PAVEMENT
Preconstruction,02-02-800,LANDSCAPING
Preconstruction,02-02-805,LANDSCAPING
Preconstruction,02-02-806,LANDSCAPE MAINTENANCE
Preconstruction,02-02-810,IRRIGATION SYSTEM
Preconstruction,02-02-815,FOUNTAINS
Preconstruction,02-02-820,FENCES & GATES
Preconstruction,02-02-821,CHAIN LINK FENCES & GATES
Preconstruction,02-02-822,ORNAMENTAL METAL FENCES & GATE
Preconstruction,02-02-824,ALUM FENCES & GATES
Preconstruction,02-02-825,WOOD FENCES & GATES
Preconstruction,02-02-830,RETAINING WALLS
Preconstruction,02-02-831,CAST-IN-PLACE CONCRETE RET WAL
Preconstruction,02-02-832,INTERLOCKING BLOCK RET WALLS
Preconstruction,02-02-833,MASONRY RETAINING WALLS
Preconstruction,02-02-834,PRECAST CONCRETE RETAINING WAL
Preconstruction,02-02-835,TIMBER RETAINING WALLS
Preconstruction,02-02-840,WALK ROAD & PARKING APPURTENAN
Preconstruction,02-02-841,BOLLARDS
Preconstruction,02-02-850,PREFABRICATED BRIDGES
Preconstruction,02-02-860,SCREENING DEVICES
Preconstruction,02-02-870,SITE FURNISHINGS
Preconstruction,02-02-880,PLAY FIELD EQUIP & STRUCTURES
Preconstruction,02-02-890,TRAFFIC SIGNS & SIGNALS
Preconstruction,02-02-895,MARKERS & MONUMENTS
Preconstruction,02-02-900,PLANTING
Preconstruction,02-02-905,TRANSPLANTING
Preconstruction,02-02-910,PLANT PREPARATION
Preconstruction,02-02-920,LAWNS & GRASSES
Preconstruction,02-02-930,EXTERIOR PLANTS
Preconstruction,02-02-935,PLANT MAINTENANCE
Preconstruction,02-02-945,PLANTING ACCESSORIES
Preconstruction,02-02-950,SITE RESTORATION & ACCESSORIES
Preconstruction,02-02-990,STRUCTURE MOVING
Preconstruction,02-03-000,CONCRETE
Preconstruction,02-03-010,CONCRETE WORK
Preconstruction,02-03-021,PILE CAPS/GRADE BEAMS FORMWK
Preconstruction,02-03-022,PILE CAPS/GRADE BEAMS REBAR
Preconstruction,02-03-023,PILE CAPS/G BEAMS CONCRETE
Preconstruction,02-03-031,SLAB ON GRADE/FORMWORK
Preconstruction,02-03-032,SLAB ON GRADE/REBAR
Preconstruction,02-03-033,SLAB ON GRADE CONCRETE
Preconstruction,02-03-041,COLUMNS/WALLS/FORMWORK
Preconstruction,02-03-042,COLUMNS/WALL REBAR
Preconstruction,02-03-043,COLUMNS/WALLS CONCRETE
Preconstruction,02-03-051,BEAM/FORMWORK
Preconstruction,02-03-052,BEAM REBAR
Preconstruction,02-03-053,BEAM CONCRETE
Preconstruction,02-03-061,ELEVATED/PT SLAB
Preconstruction,02-03-062,ELEVATED/PT SLAB REBAR
Preconstruction,02-03-063,ELEVATED/PT SLAB POST TENSION
Preconstruction,02-03-064,ELEVATED/PT SLAB CONCRETE
Preconstruction,02-03-100,CONCRETE FORMS & ACCESSORIES
Preconstruction,02-03-101,LAYOUT
Preconstruction,02-03-103,SLAB GRADING & COMPACTING
Preconstruction,02-03-104,EXTERIOR SLAB GRADE & COMPACT
Preconstruction,02-03-105,SLAB LEVELING & PATCHING
Preconstruction,02-03-106,SLAB FORMWORK
Preconstruction,02-03-107,EXTERIOR SLAB FORM WORK
Preconstruction,02-03-108,METAL KEY CONTROL JOINT
Preconstruction,02-03-109,FIBER EXPANSION JOINT
Preconstruction,02-03-110,STRUC CAST-IN-PLACE CONCRETE F
Preconstruction,02-03-111,SOIL POISONING
Preconstruction,02-03-112,MACHINE EXCAVATION
Preconstruction,02-03-113,HAND FOOTING EXCAVATION
Preconstruction,02-03-114,CONSTRUCTION JOINT
Preconstruction,02-03-116,CONTINUOUS FOOTING
Preconstruction,02-03-118,PAD FOOTINGS
Preconstruction,02-03-120,ARCH CAST-IN-PLACE CONCRETE FO
Preconstruction,02-03-122,FORM & POUR CONC COLUMNS & BEA
Preconstruction,02-03-124,PATCH CONCRETE BEAMS
Preconstruction,02-03-130,PERMANENT FORMS
Preconstruction,02-03-131,PLANTER & FOUNDATIONS
Preconstruction,02-03-140,FREE STANDING COLUMNS
Preconstruction,02-03-150,CONCRETE ACCESSORIES
Preconstruction,02-03-155,WALL
Preconstruction,02-03-156,SHORING
Preconstruction,02-03-158,ELEVATOR PIT
Preconstruction,02-03-160,CONCRETE STAIR FORMWORK
Preconstruction,02-03-162,INTERIOR STEPS ON GRADE
Preconstruction,02-03-164,EXTERIOR STEPS ON GRADE
Preconstruction,02-03-170,LOAD BEARING MASONRY FORMWORK
Preconstruction,02-03-180,ELEVATED FLAT SLAB
Preconstruction,02-03-190,CONCRETE INSERTS
Preconstruction,02-03-200,CONCRETE REINFORCEMENT
Preconstruction,02-03-210,REINFORCING STEEL
Preconstruction,02-03-220,WELDED WIRE FABRIC
Preconstruction,02-03-230,STRESSING TENDONS
Preconstruction,02-03-235,ACCESSORIES
Preconstruction,02-03-240,FIBROUS REINFORCING
Preconstruction,02-03-250,POST-TENSIONING
Preconstruction,02-03-300,CAST-IN-PLACE CONCRETE
Preconstruction,02-03-302,CONCRETE READY MIX
Preconstruction,02-03-310,STRUCTURAL CONCRETE
Preconstruction,02-03-312,CONCRETE FINISHING
Preconstruction,02-03-313,PLACING CONCRETE
Preconstruction,02-03-314,PUMPING CONCRETE
Preconstruction,02-03-320,LIGHT WEIGHT CONCRETE
Preconstruction,02-03-330,ARCHITECTURAL CONCRETE
Preconstruction,02-03-340,LOW DENSITY CONCRETE
Preconstruction,02-03-360,SPECIALITY CONCRETE FINISHES
Preconstruction,02-03-370,SPECIALLY PLACED CONCRETE
Preconstruction,02-03-380,POST-TENSIONED CONCRETE
Preconstruction,02-03-390,CONCRETE CURING
Preconstruction,02-03-400,PRECAST CONCRETE
Preconstruction,02-03-410,PLANT-PRECAST STRUCTURAL CONCR
Preconstruction,02-03-420,PLANT-PRECAST STRUC POST-TENSI
Preconstruction,02-03-430,SITE-PRECAST STRUCTURAL CONCRE
Preconstruction,02-03-432,TWIN TEE'S & PRECAST WALLS
Preconstruction,02-03-434,SHORING OF TWIN TEES
Preconstruction,02-03-440,LIFT SLAB
Preconstruction,02-03-450,PLANT-PRECAST ARCHITECTURAL CO
Preconstruction,02-03-451,SAW CUT
Preconstruction,02-03-460,SITE-PRECAST ARCHITECTURAL CON
Preconstruction,02-03-470,TILT-UP PRECAST CONCRETE
Preconstruction,02-03-480,PRECAST CONCRETE SPECIALTIES
Preconstruction,02-03-490,GLASS-FIBER-REINFORCED PRECAST
Preconstruction,02-03-500,CEMENTITIOUS DECKS & UNDERLAYM
Preconstruction,02-03-510,CEMENTITIOUS ROOF DECK
Preconstruction,02-03-520,LIGHTWEIGHT CONC ROOF INSULATI
Preconstruction,02-03-530,CONCRETE TOPPING
Preconstruction,02-03-540,CEMENTITIOUS UNDERLAYMENT
Preconstruction,02-03-600,GROUTS
Preconstruction,02-03-610,GROUTING
Preconstruction,02-03-700,MASS CONCRETE
Preconstruction,02-03-900,CONCRETE RESTORATION & CLEANIN
Preconstruction,02-03-910,CONCRETE CLEANING
Preconstruction,02-03-920,CONCRETE RESURFACING
Preconstruction,02-03-930,CONCRETE REHABILITATION
Preconstruction,02-04-000,MASONRY
Preconstruction,02-04-200,UNIT MASONRY
Preconstruction,02-04-210,CLAY MASONRY UNITS
Preconstruction,02-04-212,BRICK PAVERS
Preconstruction,02-04-220,CONCRETE MASONRY UNITS
Preconstruction,02-04-222,INTERIOR BLOCK PARTITIONS
Preconstruction,02-04-230,CALCIUM SILICATE MASONRY UNITS
Preconstruction,02-04-270,GLASS MASONRY UNITS
Preconstruction,02-04-290,ADOBE MASONRY UNITS
Preconstruction,02-04-400,STONE
Preconstruction,02-04-410,STONE MATERIALS
Preconstruction,02-04-420,COLLECTED STONE
Preconstruction,02-04-430,QUARRIED STONE
Preconstruction,02-04-500,REFRACTORIES
Preconstruction,02-04-502,PRECAST MOLDINGS
Preconstruction,02-04-552,PRECAST COLUMNS
Preconstruction,02-04-600,CORROSION-RESISTANT MASONRY
Preconstruction,02-04-610,CHEMICAL-RESISTANT BRICK
Preconstruction,02-04-620,VITRIFIED CLAY LINER PLATES
Preconstruction,02-04-700,SIMULATED MASONRY
Preconstruction,02-04-710,SIMULATED BRICK
Preconstruction,02-04-720,CAST STONE
Preconstruction,02-04-730,SIMULATED STONE
Preconstruction,02-04-800,MASONRY ASSEMBLIES
Preconstruction,02-04-810,UNIT MASONRY ASSEMBLIES
Preconstruction,02-04-820,REINFORCED UNIT MASONRY ASSEMB
Preconstruction,02-04-830,NON-REINFORCED UNIT MASONRY AS
Preconstruction,02-04-840,PREFABRICATED MASONRY PANELS
Preconstruction,02-04-850,STONE ASSEMBLIES
Preconstruction,02-04-880,MASONRY FIREPLACES
Preconstruction,02-04-900,MASONRY RESTORATION & CLEANING
Preconstruction,02-04-910,UNIT MASONRY RESTORATION
Preconstruction,02-04-920,STONE RESTORATION
Preconstruction,02-04-930,UNIT MASONRY CLEANING
Preconstruction,02-04-940,STONE CLEANING
Preconstruction,02-05-000,METALS
Preconstruction,02-05-100,STRUCTURAL METAL FRAMING
Preconstruction,02-05-110,STRUCTURAL METAL FRAMING
Preconstruction,02-05-120,STRUCTURAL STEEL
Preconstruction,02-05-121,CLEAN & PRIME STEEL
Preconstruction,02-05-122,CONNECTION PLATE
Preconstruction,02-05-124,RE-WELD STRESS PLATES
Preconstruction,02-05-125,STEEL COLUMNS
Preconstruction,02-05-128,IMPLANTS AND BOLTS
Preconstruction,02-05-130,METAL DECK
Preconstruction,02-05-140,STRUCTURAL ALUMINUM
Preconstruction,02-05-150,"STRUCTURAL, BAR JOIST & MTL DE"
Preconstruction,02-05-160,METAL FRAMING SYSTEM
Preconstruction,02-05-200,METAL JOISTS
Preconstruction,02-05-210,STEEL JOISTS
Preconstruction,02-05-216,STEEL BARJOIST & MTL DECKING
Preconstruction,02-05-260,COMPOSITE JOIST ASSEMBLIES
Preconstruction,02-05-300,METAL DECKING
Preconstruction,02-05-310,METAL DECKING
Preconstruction,02-05-400,LIGHT GAUGE MTL FRAMING
Preconstruction,02-05-410,LOAD-BEARING METAL STUDS
Preconstruction,02-05-418,METAL PARTITION FRAMING
Preconstruction,02-05-419,METAL FRAMING
Preconstruction,02-05-420,COLD-FORMED METAL JOISTS
Preconstruction,02-05-424,METAL FURRING
Preconstruction,02-05-430,SLOTTED CHANNEL FRAMING
Preconstruction,02-05-440,COLD-FORMED METAL TRUSSES
Preconstruction,02-05-450,METAL SUPPORT
Preconstruction,02-05-500,METAL FABRICATIONS
Preconstruction,02-05-501,PRE-FAB METAL BUILDING
Preconstruction,02-05-510,METAL STAIRS & LADDERS
Preconstruction,02-05-512,SPIRAL METAL STAIRS
Preconstruction,02-05-520,HANDRAILS AND RAILINGS
Preconstruction,02-05-522,ALUM TRELLIS/RAILS & GATES
Preconstruction,02-05-525,LADDER
Preconstruction,02-05-530,GRATINGS
Preconstruction,02-05-535,STAINLESS STEEL PANELS
Preconstruction,02-05-540,FLOOR PLATES
Preconstruction,02-05-550,STAIR TREADS & NOSINGS
Preconstruction,02-05-560,METAL CASTINGS
Preconstruction,02-05-580,FORMED METAL FABRICATIONS
Preconstruction,02-05-600,METAL SIDING
Preconstruction,02-05-610,METAL SIDING
Preconstruction,02-05-700,ORNAMENTAL METAL
Preconstruction,02-05-710,ORNAMENTAL STAIRS
Preconstruction,02-05-715,FABRICATED SPIRAL STAIRS
Preconstruction,02-05-720,ORNAMENTAL HANDRAILS & RAILING
Preconstruction,02-05-725,ORNAMENTAL METAL CASTINGS
Preconstruction,02-05-730,ORNAMENTAL FORMED METAL
Preconstruction,02-05-740,ORNAMENTAL FORGED METAL
Preconstruction,02-05-750,ORNAMENTAL ALUMINUM
Preconstruction,02-05-800,EXPANSION CONTROL
Preconstruction,02-05-810,EXPANSION JOINT COVER ASSEMBLI
Preconstruction,02-05-820,SLIDE BEARINGS
Preconstruction,02-05-900,METAL RESTORATION & CLEANING
Preconstruction,02-05-910,MISCELLANEOUS METALS
Preconstruction,02-05-912,DUMPSTER GATE
Preconstruction,02-05-950,ROUGH HARDWARE
Preconstruction,02-06-000,WOOD AND PLASTICS
Preconstruction,02-06-010,CARPENTRY
Preconstruction,02-06-100,ROUGH CARPENTRY
Preconstruction,02-06-101,CARPENTRY DEMO
Preconstruction,02-06-102,TEMPORARY PROTECTION
Preconstruction,02-06-110,ROUGH CARPENTRY
Preconstruction,02-06-112,FLOOR FRAMING
Preconstruction,02-06-114,CONVENTIONAL FRAMING
Preconstruction,02-06-116,DROP SOFFITS AND CEILING
Preconstruction,02-06-118,WOOD PARTITION FRAMING
Preconstruction,02-06-119,EXTERIOR WOOD PARTITION FRAMIN
Preconstruction,02-06-120,ROOF SHEATHING
Preconstruction,02-06-121,FLOOR SHEATHING
Preconstruction,02-06-122,EXTERIOR WALL SHEATHING
Preconstruction,02-06-124,WOOD FURRING
Preconstruction,02-06-130,HEAVY TIMBER CONSTRUCTION
Preconstruction,02-06-131,EXTERIOR FASCIA & SOFFIT
Preconstruction,02-06-132,EXTERIOR SOFFIT
Preconstruction,02-06-134,EXTERIOR FASCIA
Preconstruction,02-06-135,SOFFIT SCREEN VENTS
Preconstruction,02-06-136,EXTERIOR 1 X SIDING
Preconstruction,02-06-137,EXTERIOR PLYWOOD SIDING
Preconstruction,02-06-138,EXTERIOR MOLDINGS AND TRIM
Preconstruction,02-06-150,WOOD DECKING
Preconstruction,02-06-160,SHEATHING
Preconstruction,02-06-170,PREFABRICATED STRUCTURAL WOOD
Preconstruction,02-06-175,Wood Trusses
Preconstruction,02-06-180,Glued Laminated Construction
Preconstruction,02-06-190,WOOD TRUSSES
Preconstruction,02-06-192,CRANE TIME
Preconstruction,02-06-200,FINISH CARPENTRY
Preconstruction,02-06-202,BASE MOLDING
Preconstruction,02-06-203,PLINTH BLOCK
Preconstruction,02-06-204,CROWN MOLDING
Preconstruction,02-06-205,WOOD CASING
Preconstruction,02-06-206,JAMBS AND CASING
Preconstruction,02-06-207,JAMB EXTENDER
Preconstruction,02-06-210,FINISH CARPENTRY
Preconstruction,02-06-211,WINDOW JAMBS AND TRIM
Preconstruction,02-06-212,VALANCE
Preconstruction,02-06-213,WINDOW TRANSOM
Preconstruction,02-06-214,TONGUE AND GROOVE PANELING
Preconstruction,02-06-215,SHELVING
Preconstruction,02-06-220,MILLWORK
Preconstruction,02-06-250,PREFINISHED PANELING
Preconstruction,02-06-260,BOARD PANELING
Preconstruction,02-06-270,CLOSET & UTILITY WOOD SHELVING
Preconstruction,02-06-400,ARCHITECTURAL WOODWORK
Preconstruction,02-06-410,CUSTOM CABINETS
Preconstruction,02-06-411,COUNTER TOPS
Preconstruction,02-06-412,BAR CABINETS
Preconstruction,02-06-413,WALL UNIT
Preconstruction,02-06-414,SOLID SURFACE COUNTERTOPS
Preconstruction,02-06-417,OPEN MICA SHELVES
Preconstruction,02-06-418,CUSTOM CABINET HARDWARE
Preconstruction,02-06-419,"CABINETS, SHELVES AND BASE"
Preconstruction,02-06-420,PANELING
Preconstruction,02-06-430,WOOD STAIRS & RAILINGS
Preconstruction,02-06-431,WOOD STAIRS AND RAILINGS
Preconstruction,02-06-434,WOOD HANDRAILS
Preconstruction,02-06-436,FOLDING STAIRS
Preconstruction,02-06-440,WOOD ORNAMENTS
Preconstruction,02-06-442,EXTERIOR SHUTTERS
Preconstruction,02-06-445,SIMULATED WOOD ORNAMENTS
Preconstruction,02-06-450,STANDING & RUNNING TRIM
Preconstruction,02-06-455,SIMULATED WOOD TRIM
Preconstruction,02-06-460,WOOD FRAMES
Preconstruction,02-06-470,"SCREENS, BLINDS & SHUTTERS"
Preconstruction,02-06-500,STRUCTURAL PLASTICS
Preconstruction,02-06-510,STRUCTURAL PLASTIC SHAPES & PL
Preconstruction,02-06-520,PLASTICS STRUCTURAL ASSEMBLIES
Preconstruction,02-06-600,PLASTIC FABRICATION
Preconstruction,02-06-900,WOOD & PLASTIC RESTORATION & C
Preconstruction,02-06-910,WOOD RESTORATION & CLEANING
Preconstruction,02-06-920,PLASTIC RESTORATION & CLEANING
Preconstruction,02-07-000,THERMAL/MOISTURE PROT
Preconstruction,02-07-100,WATERPROOFING & DAMPPROOFING
Preconstruction,02-07-110,DAMPPROOFING
Preconstruction,02-07-112,CAULKING
Preconstruction,02-07-114,FELT ON EXTERIOR WALL
Preconstruction,02-07-120,BUILT-UP BITUMINOUS WATERPROOF
Preconstruction,02-07-130,SHEET WATERPROOFING
Preconstruction,02-07-140,FLUID-APPLIED WATERPROOFING
Preconstruction,02-07-150,SHEET METAL WATERPROOFING
Preconstruction,02-07-160,CEMENTITIOUS & REACTIVE WATERP
Preconstruction,02-07-170,BENTONITE WATERPROOFING
Preconstruction,02-07-180,TRAFFIC COATINGS
Preconstruction,02-07-190,WATER REPELLENTS
Preconstruction,02-07-200,THERMAL PROTECTION
Preconstruction,02-07-210,BUILDING INSULATION
Preconstruction,02-07-211,LOOSE FILL INSULATION
Preconstruction,02-07-212,RIGID INSULATION
Preconstruction,02-07-215,SPRAY-ON INSULATION
Preconstruction,02-07-220,ROOF & DECK INSULATION
Preconstruction,02-07-240,EXTERIOR INSULATION & FINISH S
Preconstruction,02-07-260,VAPOR RETARDERS
Preconstruction,02-07-270,AIR BARRIERS
Preconstruction,02-07-275,FIRE SAFING
Preconstruction,02-07-300,SHINGLES & ROOFING TILES
Preconstruction,02-07-310,SHINGLES
Preconstruction,02-07-320,ROOF TILES
Preconstruction,02-07-321,CLAY ROOF TILES
Preconstruction,02-07-322,CONCRETE ROOF TILES
Preconstruction,02-07-330,ROOF COVERINGS
Preconstruction,02-07-400,ROOFING & SIDING PANELS
Preconstruction,02-07-410,METAL ROOF & WALL PANELS
Preconstruction,02-07-411,METAL ROOF
Preconstruction,02-07-412,EMERGENCY ROOF REPAIR
Preconstruction,02-07-420,PLASTIC ROOF & WALL PANELS
Preconstruction,02-07-430,COMPOSITE PANELS
Preconstruction,02-07-440,FACED PANELS
Preconstruction,02-07-450,FIBER-REINFORCED CEMENTITIOUS
Preconstruction,02-07-460,SIDING
Preconstruction,02-07-470,WOOD ROOF & WALL PANELS
Preconstruction,02-07-480,EXTERIOR WALL ASSEMBLIES
Preconstruction,02-07-500,MEMBRANE ROOFING
Preconstruction,02-07-505,SINGLE PLY ROOFING
Preconstruction,02-07-510,BUILT-UP BITUMINOUS ROOFING
Preconstruction,02-07-520,COLD-APPLIED BITUMINOUS ROOFIN
Preconstruction,02-07-530,ELASTOMERIC MEMBRANE ROOFING
Preconstruction,02-07-540,THERMOPLASTIC MEMBRANE ROOFING
Preconstruction,02-07-550,MODIFIED BITUMINOUS MEMBRANE R
Preconstruction,02-07-560,FLUID-APPLIED ROOFING
Preconstruction,02-07-570,COATED FOAMED ROOFING
Preconstruction,02-07-590,ROOF MAINTENANCE & REPAIRS
Preconstruction,02-07-600,FLASHING & SHEET METAL
Preconstruction,02-07-610,SHEET METAL ROOFING
Preconstruction,02-07-620,SHEET METAL FLASHING & TRIM
Preconstruction,02-07-625,DOOR & WINDOW PANS
Preconstruction,02-07-630,SHEET METAL ROOFING SPECIALTIE
Preconstruction,02-07-650,FLEXIBLE FLASHING
Preconstruction,02-07-700,ROOF SPECIALTIES & ACCESSORIES
Preconstruction,02-07-710,MANUFACTURED ROOF SPECIALTIES
Preconstruction,02-07-714,GUTTERS & DOWNSPOUTS
Preconstruction,02-07-720,ROOF ACCESSORIES
Preconstruction,02-07-724,ROOF HATCHES
Preconstruction,02-07-725,ROOF WALK BOARDS
Preconstruction,02-07-760,ROOF PAVERS
Preconstruction,02-07-800,FIRE & SMOKE PROTECTION
Preconstruction,02-07-810,APPLIED FIREPROOFING
Preconstruction,02-07-820,BOARD FIREPROOFING
Preconstruction,02-07-840,FIRESTOPPING
Preconstruction,02-07-860,SMOKE SEALS
Preconstruction,02-07-870,SMOKE CONTAINMENT BARRIERS
Preconstruction,02-07-900,JOINT SEALERS
Preconstruction,02-07-910,PREFORMED JOINT SEALS
Preconstruction,02-07-920,JOINT SEALANTS
Preconstruction,02-08-000,DOORS AND WINDOWS
Preconstruction,02-08-100,METAL DOORS & FRAMES
Preconstruction,02-08-105,METAL DOORS & FRAMES
Preconstruction,02-08-110,STEEL DOORS & FRAMES
Preconstruction,02-08-120,ALUMINIUM DOORS & FRAMES
Preconstruction,02-08-130,STAINLESS STEEL DOORS & FRAMES
Preconstruction,02-08-140,BRONZE DOORS & FRAMES
Preconstruction,02-08-150,PREASSEMBLED METAL DOORS/FRAME
Preconstruction,02-08-160,SLIDING METAL DOORS & GRILLES
