Sub Job,Cost Code Tier 1,Cost Code Tier 2,Cost Code Tier 3,Cost Type,Budget Code,Budget Code Description,Original Budget Amount,Budget Modifications,Approved COs,Revised Budget,Pending Budget Changes,Projected Budget,Committed Costs,Direct Costs,Job to Date Costs,Pending Cost Changes,Projected Costs,Forecast To Complete,Estimated Cost at Completion,Projected over Under
None,None,None,None,None,"","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000 - CLOSED - DO NOT USE,03 - ESTIMATING,03-01 - GENERAL CONDITIONS,03-01-025 - PLAN COPY EXPENSE,MAT - Materials,0000.03-01-025.MAT,CLOSED - DO NOT USE.PLAN COPY EXPENSE.Materials,0.0,1032.4,0.0,1032.4,0.0,1032.4,0.0,1032.4,1032.4,0.0,1032.4,0.0,1032.4,0.0
0000 - CLOSED - DO NOT USE,03 - ESTIMATING,03-01 - GENERAL CONDITIONS,03-01-413 - ESTIMATING,LAB - Labor,0000.03-01-413.LAB,CLOSED - DO NOT USE.ESTIMATING.Labor,0.0,127360.67,0.0,127360.67,0.0,127360.67,0.0,127360.67,127360.67,0.0,127360.67,0.0,127360.67,0.0
0000 - CLOSED - DO NOT USE,03 - ESTIMATING,03-01 - GENERAL CONDITIONS,03-01-413 - ESTIMATING,LBN - Labor Burden,0000.03-01-413.LBN,CLOSED - DO NOT USE.ESTIMATING.Labor Burden,0.0,24487.19,0.0,24487.19,0.0,24487.19,0.0,24487.19,24487.19,0.0,24487.19,0.0,24487.19,0.0
0000 - CLOSED - DO NOT USE,03 - ESTIMATING,03-01 - GENERAL CONDITIONS,03-01-413 - ESTIMATING,MAT - Materials,0000.03-01-413.MAT,CLOSED - DO NOT USE.ESTIMATING.Materials,0.0,4278.99,0.0,4278.99,0.0,4278.99,0.0,4278.99,4278.99,0.0,4278.99,0.0,4278.99,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-025 - PLAN COPY EXPENSE,MAT - Materials,1000.10-01-025.MAT,TROPICAL WOLRD NURSERY-CONSTR.PLAN COPY EXPENSE.Materials,8500.0,0.0,0.0,8500.0,0.0,8500.0,0.0,294.43,294.43,0.0,294.43,8205.57,8500.0,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-100 - PRECONSTRUCTION,LAB - Labor,1000.10-01-100.LAB,TROPICAL WOLRD NURSERY-CONSTR.PRECONSTRUCTION.Labor,54720.0,0.0,0.0,54720.0,0.0,54720.0,0.0,0.0,0.0,0.0,0.0,54720.0,54720.0,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-302 - VDC DIRECTOR,LAB - Labor,1000.10-01-302.LAB,TROPICAL WOLRD NURSERY-CONSTR.VDC DIRECTOR.Labor,79934.29,-1000.0,0.0,78934.29,0.0,78934.29,0.0,1846.2,1846.2,0.0,1846.2,77088.09,78934.29,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-302 - VDC DIRECTOR,LBN - Labor Burden,1000.10-01-302.LBN,TROPICAL WOLRD NURSERY-CONSTR.VDC DIRECTOR.Labor Burden,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,418.93,418.93,0.0,418.93,581.07,1000.0,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-308 - ASSISTANT PROJECT MANAGER,LAB - Labor,1000.10-01-308.LAB,TROPICAL WOLRD NURSERY-CONSTR.ASSISTANT PROJECT MANAGER.Labor,345113.28,-109022.66,0.0,236090.62,0.0,236090.62,0.0,11876.8,11876.8,0.0,11876.8,224213.82,236090.62,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-308 - ASSISTANT PROJECT MANAGER,LBN - Labor Burden,1000.10-01-308.LBN,TROPICAL WOLRD NURSERY-CONSTR.ASSISTANT PROJECT MANAGER.Labor Burden,0.0,69022.66,0.0,69022.66,0.0,69022.66,0.0,2301.34,2301.34,0.0,2301.34,66721.32,69022.66,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-308 - ASSISTANT PROJECT MANAGER,MAT - Materials,1000.10-01-308.MAT,TROPICAL WOLRD NURSERY-CONSTR.ASSISTANT PROJECT MANAGER.Materials,18163.86,0.0,0.0,18163.86,0.0,18163.86,0.0,0.0,0.0,0.0,0.0,18163.86,18163.86,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-310 - ACCOUNTING,LAB - Labor,1000.10-01-310.LAB,TROPICAL WOLRD NURSERY-CONSTR.ACCOUNTING.Labor,59017.14,-12000.0,0.0,47017.14,0.0,47017.14,0.0,158.68,158.68,0.0,158.68,46858.46,47017.14,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-310 - ACCOUNTING,LBN - Labor Burden,1000.10-01-310.LBN,TROPICAL WOLRD NURSERY-CONSTR.ACCOUNTING.Labor Burden,0.0,12000.0,0.0,12000.0,0.0,12000.0,0.0,31.08,31.08,0.0,31.08,11968.92,12000.0,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-311 - EXECUTIVE MANAGEMENT,LAB - Labor,1000.10-01-311.LAB,TROPICAL WOLRD NURSERY-CONSTR.EXECUTIVE MANAGEMENT.Labor,175198.45,-35039.69,0.0,140158.76,0.0,140158.76,0.0,22222.94,22222.94,0.0,22222.94,117935.82,140158.76,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-311 - EXECUTIVE MANAGEMENT,LBN - Labor Burden,1000.10-01-311.LBN,TROPICAL WOLRD NURSERY-CONSTR.EXECUTIVE MANAGEMENT.Labor Burden,0.0,35039.69,0.0,35039.69,0.0,35039.69,0.0,4405.39,4405.39,0.0,4405.39,30634.3,35039.69,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-311 - EXECUTIVE MANAGEMENT,MAT - Materials,1000.10-01-311.MAT,TROPICAL WOLRD NURSERY-CONSTR.EXECUTIVE MANAGEMENT.Materials,9220.97,0.0,0.0,9220.97,0.0,9220.97,0.0,4976.24,4976.24,0.0,4976.24,4244.73,9220.97,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-312 - SUPERINTENDENT 1,LAB - Labor,1000.10-01-312.LAB,TROPICAL WOLRD NURSERY-CONSTR.SUPERINTENDENT 1.Labor,249170.89,-49834.18,0.0,199336.71,0.0,199336.71,0.0,3173.28,3173.28,0.0,3173.28,196163.43,199336.71,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-312 - SUPERINTENDENT 1,LBN - Labor Burden,1000.10-01-312.LBN,TROPICAL WOLRD NURSERY-CONSTR.SUPERINTENDENT 1.Labor Burden,0.0,49834.18,0.0,49834.18,0.0,49834.18,0.0,774.84,774.84,0.0,774.84,49059.34,49834.18,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-312 - SUPERINTENDENT 1,MAT - Materials,1000.10-01-312.MAT,TROPICAL WOLRD NURSERY-CONSTR.SUPERINTENDENT 1.Materials,13114.26,0.0,0.0,13114.26,0.0,13114.26,0.0,300.0,300.0,0.0,300.0,12814.26,13114.26,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-314 - SUPERINTENDENT 2,LAB - Labor,1000.10-01-314.LAB,TROPICAL WOLRD NURSERY-CONSTR.SUPERINTENDENT 2.Labor,436077.14,-87215.43,0.0,348861.71,0.0,348861.71,0.0,71375.84,71375.84,0.0,71375.84,277485.87,348861.71,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-314 - SUPERINTENDENT 2,LBN - Labor Burden,1000.10-01-314.LBN,TROPICAL WOLRD NURSERY-CONSTR.SUPERINTENDENT 2.Labor Burden,0.0,87215.43,0.0,87215.43,0.0,87215.43,0.0,15959.44,15959.44,0.0,15959.44,71255.99,87215.43,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-314 - SUPERINTENDENT 2,MAT - Materials,1000.10-01-314.MAT,TROPICAL WOLRD NURSERY-CONSTR.SUPERINTENDENT 2.Materials,22951.43,-95.05,0.0,22856.38,0.0,22856.38,0.0,4525.02,4525.02,0.0,4525.02,18331.36,22856.38,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-315 - ASST SUPERINTENDENT,LAB - Labor,1000.10-01-315.LAB,TROPICAL WOLRD NURSERY-CONSTR.ASST SUPERINTENDENT.Labor,125196.43,6960.0,0.0,132156.43,0.0,132156.43,0.0,10789.92,10789.92,0.0,10789.92,121366.51,132156.43,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-315 - ASST SUPERINTENDENT,LBN - Labor Burden,1000.10-01-315.LBN,TROPICAL WOLRD NURSERY-CONSTR.ASST SUPERINTENDENT.Labor Burden,0.0,33040.0,0.0,33040.0,0.0,33040.0,0.0,2742.97,2742.97,0.0,2742.97,30297.03,33040.0,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-315 - ASST SUPERINTENDENT,MAT - Materials,1000.10-01-315.MAT,TROPICAL WOLRD NURSERY-CONSTR.ASST SUPERINTENDENT.Materials,6589.29,0.0,0.0,6589.29,0.0,6589.29,0.0,525.07,525.07,0.0,525.07,6064.22,6589.29,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-317 - PROJECT COORDINATOR,LAB - Labor,1000.10-01-317.LAB,TROPICAL WOLRD NURSERY-CONSTR.PROJECT COORDINATOR.Labor,243715.71,-48743.14,0.0,194972.57,0.0,194972.57,0.0,21004.44,21004.44,0.0,21004.44,173968.13,194972.57,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-317 - PROJECT COORDINATOR,LBN - Labor Burden,1000.10-01-317.LBN,TROPICAL WOLRD NURSERY-CONSTR.PROJECT COORDINATOR.Labor Burden,0.0,48743.14,0.0,48743.14,0.0,48743.14,0.0,4325.1,4325.1,0.0,4325.1,44418.04,48743.14,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-317 - PROJECT COORDINATOR,MAT - Materials,1000.10-01-317.MAT,TROPICAL WOLRD NURSERY-CONSTR.PROJECT COORDINATOR.Materials,12827.14,0.0,0.0,12827.14,0.0,12827.14,0.0,1130.92,1130.92,0.0,1130.92,11696.22,12827.14,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-318 - PROJECT MANAGER,LAB - Labor,1000.10-01-318.LAB,TROPICAL WOLRD NURSERY-CONSTR.PROJECT MANAGER.Labor,557541.43,-268572.49,0.0,288968.94,0.0,288968.94,0.0,52791.6,52791.6,0.0,52791.6,236177.34,288968.94,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-318 - PROJECT MANAGER,LBN - Labor Burden,1000.10-01-318.LBN,TROPICAL WOLRD NURSERY-CONSTR.PROJECT MANAGER.Labor Burden,0.0,111508.29,0.0,111508.29,0.0,111508.29,0.0,10572.66,10572.66,0.0,10572.66,100935.63,111508.29,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-318 - PROJECT MANAGER,MAT - Materials,1000.10-01-318.MAT,TROPICAL WOLRD NURSERY-CONSTR.PROJECT MANAGER.Materials,29344.29,0.0,0.0,29344.29,0.0,29344.29,0.0,4680.31,4680.31,0.0,4680.31,24663.98,29344.29,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-340 - SCHEDULING,MAT - Materials,1000.10-01-340.MAT,TROPICAL WOLRD NURSERY-CONSTR.SCHEDULING.Materials,41072.25,0.0,0.0,41072.25,0.0,41072.25,0.0,6100.0,6100.0,0.0,6100.0,34972.25,41072.25,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-422 - ENGINEERING,MAT - Materials,1000.10-01-422.MAT,TROPICAL WOLRD NURSERY-CONSTR.ENGINEERING.Materials,1000.0,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-460 - SAFETY SUPERVISOR,LAB - Labor,1000.10-01-460.LAB,TROPICAL WOLRD NURSERY-CONSTR.SAFETY SUPERVISOR.Labor,57742.62,-548.52,0.0,57194.1,0.0,57194.1,0.0,490.48,490.48,0.0,490.48,56703.62,57194.1,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-460 - SAFETY SUPERVISOR,LBN - Labor Burden,1000.10-01-460.LBN,TROPICAL WOLRD NURSERY-CONSTR.SAFETY SUPERVISOR.Labor Burden,0.0,548.52,0.0,548.52,0.0,548.52,0.0,100.26,100.26,0.0,100.26,448.26,548.52,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-460 - SAFETY SUPERVISOR,MAT - Materials,1000.10-01-460.MAT,TROPICAL WOLRD NURSERY-CONSTR.SAFETY SUPERVISOR.Materials,3039.09,0.0,0.0,3039.09,0.0,3039.09,0.0,466.39,466.39,0.0,466.39,2572.7,3039.09,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-500 - FURNITURE,MAT - Materials,1000.10-01-500.MAT,TROPICAL WOLRD NURSERY-CONSTR.FURNITURE.Materials,5000.0,0.0,0.0,5000.0,0.0,5000.0,0.0,1356.12,1356.12,0.0,1356.12,3643.88,5000.0,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-505 - POSTAGE,MAT - Materials,1000.10-01-505.MAT,TROPICAL WOLRD NURSERY-CONSTR.POSTAGE.Materials,2741.66,0.0,0.0,2741.66,0.0,2741.66,0.0,29.89,29.89,0.0,29.89,2711.77,2741.66,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-513 - EQUIPMENT FUEL,MAT - Materials,1000.10-01-513.MAT,TROPICAL WOLRD NURSERY-CONSTR.EQUIPMENT FUEL.Materials,5000.0,0.0,0.0,5000.0,0.0,5000.0,0.0,1512.52,1512.52,0.0,1512.52,3487.48,5000.0,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-517 - TELEPHONES,MAT - Materials,1000.10-01-517.MAT,TROPICAL WOLRD NURSERY-CONSTR.TELEPHONES.Materials,5655.56,0.0,0.0,5655.56,0.0,5655.56,0.0,1.98,1.98,0.0,1.98,5653.58,5655.56,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-520 - OFFICE SUPPLIES,MAT - Materials,1000.10-01-520.MAT,TROPICAL WOLRD NURSERY-CONSTR.OFFICE SUPPLIES.Materials,6397.23,0.0,0.0,6397.23,0.0,6397.23,0.0,663.25,663.25,0.0,663.25,5733.98,6397.23,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-521 - FIELD OFFICES & SHEDS,MAT - Materials,1000.10-01-521.MAT,TROPICAL WOLRD NURSERY-CONSTR.FIELD OFFICES & SHEDS.Materials,82627.85,0.0,0.0,82627.85,0.0,82627.85,0.0,22566.2,22566.2,0.0,22566.2,60061.65,82627.85,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-522 - FIRST AID,MAT - Materials,1000.10-01-522.MAT,TROPICAL WOLRD NURSERY-CONSTR.FIRST AID.Materials,913.89,0.0,0.0,913.89,0.0,913.89,0.0,90.43,90.43,0.0,90.43,823.46,913.89,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-523 - SANITARY FACILITIES,MAT - Materials,1000.10-01-523.MAT,TROPICAL WOLRD NURSERY-CONSTR.SANITARY FACILITIES.Materials,60316.73,0.0,0.0,60316.73,0.0,60316.73,0.0,1942.0,1942.0,0.0,1942.0,58374.73,60316.73,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-531 - COMPUTER SOFTWARE & LICENSING,MAT - Materials,1000.10-01-531.MAT,TROPICAL WOLRD NURSERY-CONSTR.COMPUTER SOFTWARE & LICENSING.Materials,137500.0,0.0,0.0,137500.0,0.0,137500.0,0.0,5183.48,5183.48,0.0,5183.48,132316.52,137500.0,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-532 - SMALL TOOLS,MAT - Materials,1000.10-01-532.MAT,TROPICAL WOLRD NURSERY-CONSTR.SMALL TOOLS.Materials,26555.59,0.0,0.0,26555.59,0.0,26555.59,0.0,1875.48,1875.48,0.0,1875.48,24680.11,26555.59,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-533 - COMPUTER HARDWARE,MAT - Materials,1000.10-01-533.MAT,TROPICAL WOLRD NURSERY-CONSTR.COMPUTER HARDWARE.Materials,5069.45,0.0,0.0,5069.45,0.0,5069.45,0.0,3689.86,3689.86,0.0,3689.86,1379.59,5069.45,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-534 - SITE STORAGE,MAT - Materials,1000.10-01-534.MAT,TROPICAL WOLRD NURSERY-CONSTR.SITE STORAGE.Materials,18933.36,0.0,0.0,18933.36,0.0,18933.36,0.0,1431.91,1431.91,0.0,1431.91,17501.45,18933.36,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-544 - EQUIPMENT RENTAL,MAT - Materials,1000.10-01-544.MAT,TROPICAL WOLRD NURSERY-CONSTR.EQUIPMENT RENTAL.Materials,45000.0,0.0,0.0,45000.0,0.0,45000.0,0.0,1168.55,1168.55,0.0,1168.55,43831.45,45000.0,0.0
